Title,CAS Number,Use(s),Synonym(s),Latest Criteria,Inhalation Unit Risk (μg/cubic meter)-1,Inhalation Slope Factor (mg/kg-day)-1,Oral Slope Factor (mg/kg-day)-1,Last Cancer Potency Revision,Acute REL (μg/m3),Species,Acute REL Toxicologic Endpoint,Acute REL Target Organs,Severity,Last Acute REL Revision,8-Hour Inhalation REL (μg/m3),Last 8-Hour REL Revision,Chronic Inhalation REL (μg/m3),Chronic Toxicologic Endpoint,Chronic Target Organs,Human Data,Health Risk Category,Cancer Risk at PHG,MCL value (mg/L),Cancer Risk at MCL,Notification Level (μg/L),Public Health Goal (mg/L),Last PHG Revision,No Significant Risk Level (NSRL) - Inhalation,No Significant Risk Level (NSRL) - Oral,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Inhalation,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Oral,Last NSRL/MADL Revision,Cancer,Cancer - Listing Mechanism,Reproductive Toxicity,Chemical listed under Proposition 65 as causing,Developmental Toxicity - Date of Listing,Developmental Toxicity - Listing Mechanism,Female Reproductive Toxicity - Date of Listing,Female Reproductive Toxicity - Listing Mechanism,Male Reproductive Toxicity - Date of Listing,Male Reproductive Toxicity - Listing Mechanism,"Child-specific refence dose (chRD) (mg/kg-day, unless noted)",Last chRD revision,CHHSL Commercial Non-volatile (mg/kg soil),"CHHSL Commercial Volatile, engineered fill (mcg/l soil gas)","CHHSL Commercial Volatile, no engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, no engineered fill (mcg/l soil gas)",Soil/soil-gas screening number (CHHSL) Residential Non-volatile (mg/kg soil)
Chlorsulfuron,64902-72-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formerly listed,,5/14/1999,AB,5/14/1999,AB,5/14/1999,AB,,,,,,,,
Chromic Trioxide,1333-82-0,"Metal finishing and plating; medicine (caustic to remove warts and other growths); manufacture in wood preservation products, catalysts, chromium dioxide, and pigments.",Chromic acid mist; Chromic anhydride; Chromic oxide; Monochromium trioxide; Puratronic chromium trioxide,Chronic Reference Exposure Levels,,,,,,,,,,,,,0.002 (inhalation); 20 μg/kg BW-day (oral),,Inhalation: Respiratory system. Oral: Hematologic system,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromium III,1308-14-1,"Used as a pigment, as a mordant, and as a catalyst for organic reactions.","Chromium hydroxide, CRIII, Cr 3+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromium-hexavalent,18540-29-9,"Production of stainless steel, textile dyes, wood preservatives, leather tanning, anti-corrosion and conversion coatings, electroplating",Chromium VI; Cr6; Chrom 6; Hexavalent chromium; Soluble hexavalent chromium compounds,California Public Health Goals,1.5 E-1,5.1 E+2,5.0 E-1,2011,,,,,,,,,0.2 (inhalation); 20 μg/kg BW-day (oral),,Inhalation: Respiratory system. Oral: Hematologic system,No,Carcinogenicity,0.000001,0.05 for total chromium,Not Available,,0.00002,2011,0.001 µg/day,,,8.2 µg/day,2010,Currently listed,LC,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",12/19/2008,SQE,12/19/2008,SQE,12/19/2008,SQE,,,,,,,,
Chrysene,218-01-9,"Manufacture of dyes, research chemical; natural constituent of coal tar; component of creosote (wood preservative) and tobacco smoke","1,2-Benzphenanthrene; Benzo[a]phenanthrene",,1.1 E-5,3.9 E-2,1.2 E-1,,,,,,,,,,,,,,,,,,,,,,0.35 µg/day,,,2004,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Ciclosporin,59865-13-3; 79217-60-0,,Cyclosporin A; Cyclosporine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Cidofovir,113852-37-2,Medicine (treatment of CMV retinitis),"Phosphonic acid, ((2-(4-amino-2-oxo-1(2H)-pyrimidinyl)-1-(hydroxymethyl)ethoxy)methyl)-, (S)-; (S)-1-(3-Hydroxy-2-phosphonomethoxypropyl)cytosine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,FR,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",1/29/1999,FR,1/29/1999,FR,1/29/1999,FR,,,,,,,,
Cinnamyl Anthranilate,87-29-6,Fragrance additive. Banned as food additive (flavoring agent) in the US in 1985.,Anthranilic acid; Cinnamyl ester; Cinnamyl o-aminobenzoate; NCI-C03510,,1.3 E-6,4.6 E-3,4.6 E-3,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Cisplatin,15663-27-1,Medicine (treatment of cancer),cis-DDP; cis-Diaminodichloroplatinum; cis-Dichlorodiamminoplatinum; Cisplatin dihydrochloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Citrus Red No. 2,6358-53-8,Dye to color the skin of oranges,"C.I. Solvent Red 80; 2,5-Dimethoxybenzeneazo-beta-naphthol; 1-((2,5-Dimethoxyphenyl)azo)-2-naphthalenol; 2,5-Dimethoxy-1-(phenylazo)-2-naphthol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Cladribine,4291-63-8,Medicine (treatment of chronic lymphocytic leukemia),5-(6-Amino-2-chloro-purin-9-yl)-2-(hydroxymethyl)oxolan-3-ol;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,9/1/1996,FR,,,,,,,,,,,,
Clarithromycin,81103-11-9,Medicine (antibiotic),"(3R,4S,5S,6R,7R,9R,11S,12R,13S,14S)-6-{[(2S,3R,4S,6R) -4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy} -14-ethyl-12,13-dihydroxy-4-{[(2R,4S,5S,6S)-5-hydroxy -4-methoxy-4,6-dimethyloxan-2-yl]oxy}-7 -methoxy-3,5,7,9,11,13-hexamethyl -1-oxacyclotetradecane-2,10-dione; 6-o-Methoxyerythromycin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,5/1/1997,FR,,,,,,,,,,,,
Clobetasol Propionate,25122-46-7,"Medicine (corticosteroid, treatment for skin disorders)","21-Chloro-9-fluoro-11beta,17-dihydroxy-16beta-methylpregna-1,4-diene-3,20-dione 17-propionate; 21-Chloro-9-fluoro-11beta,17-dihydroxy-16beta-methylpregna-1,4-diene-3,20-dione 17-propionate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",5/15/1998,FR,5/15/1998,FR,,,,,,,,,,
Clodinafop-Propargyl,105512-06-9,Herbicide used on spring wheat,Topik; 105512-06-9; Discover; UNII-QEH394TY6Y; Clodinafop-propargyl [ISO]; Discover Herbicide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,,,
Clofibrate,637-07-0,Medicine (antilipidemic),2-(4-Chlorophenoxy)-2-methylpropanoic Acid Ethyl Ester; Ethyl Clofibrate-d4; Ethyl 2-(4-Chlorophenoxy-d4)-2-methylpropionate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,FR,,,,,,,,,,,,,,,,
Clomiphene and its salts,911-45-5,"Pharmaceutical agent used to induce ovulation in anovulatory females, and to induce normal menstrual cycling in amenorrhea or oligomenorrhea. Clomiphene citrate has also been used in men to treat oligospermia.","Clomiphene; Clomifene; DSSTox_CID_2843; DSSTox_RID_76754; Androxalreg; DSSTox_GSID_22843; 1-(p-(beta-Diethylaminoethoxy)-phenyl)-1,2-diphenylchloroethylene; Cisclomiphene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,,,
Clomiphene Citrate,50-41-9,Medicine (fertility treatment),"Clomiphene citrate salt; 2-[4-(2-Chloro-1,2-diphenylethenyl)-phenoxy]-N,N-diethylethanamine citrate salt; Ethanamine, 2-[4-(2-chloro-1,2-diphenylethenyl) phenoxy]-N,N-diethyl-, 2-hydroxy-1,2,3-propanetricarboxylate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,FR,Currently listed,Developmental Toxicity,4/1/1990,FR,,,,,,,,,,,,
Clorazepate Dipotassium,57109-90-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,10/1/1992,FR,,,,,,,,,,,,
Cobalt (II) Oxide,1307-96-6,"Cobalt(II) oxide or cobalt monoxide is an inorganic compound that appears as olive-green to red crystals, or as a greyish or black powder. It is used extensively in the ceramics industry as an additive to create blue colored glazes and enamels as well as in the chemical industry for producing cobalt(II) salts.","Cobaltous oxide, Cobalt monoxide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Cobalt Metal Powder,7440-48-4,"Alloys, batteries, catalysts, pigments","Co, cobalt powder, cobalt nanopowder, cobalt metal pieces, cobalt slug, cobalt metal targets, cobalt blue, metallic cobalt, cobalt wire, cobalt rod",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Cobalt Sulfate,10124-43-3,"Component of storage batteries; preparation of pigments, manufacture of other cobalt salts; mineral supplement in animal feeds",Cobalt monosulfate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Cobalt Sulfate Heptahydrate,10026-24-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Cocaine,50-36-2,Recreational drug,"(1r,2r,3s,5s)-2-Methoxycarbonyltropan-3-ylbenzoate; 1-Alpha-H,5-alpha-H-Tropane-2-beta-carboxylic acid, 3-beta-hydroxy-, methyl ester, benzoate; 2-beta-Carbomethoxy-3-beta-benzoxytropane; 2-beta-Tropanecarboxylic acid, 3-beta-hydroxy-, methyl ester, benzoate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",7/1/1989,SQE,7/1/1989,SQE,,,,,,,,,,
Coconut oil diethanolamine condensate (cocamide diethanolamine),,,cocamide diethanolamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Codeine Phosphate,52-28-8,"Medicine (analgesic, antitussive, antidiarrheal opiate)","(5a,6a)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methyl-morphinan-6-ol Phosphate; Codicept Phosphate; Coducept Phosphate; Morphine 3-Methyl Ether Phosphate; Morphinan-6-ol, 7,8-didehydro-4,5-epoxy-3-methoxy-17-methyl-, (5.alpha.,6.alpha.)-, phosphate (1:1) (salt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,5/15/1998,FR,,,,,,,,,,,,
Coke Oven Emissions,,"Emissions from production of coke (pure carbon), a component in manufacturing iron and steel",,,0.00062,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Colchicine,64-86-8,Medicine (treatment for gout),"7-Acetamido-6,7-dihydro-1,2,3,10-tetramethoxybenzo[a]heptalen-9(5h)-one; Colchiceine methyl ether; Colchisol; n-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo[a]heptalen-7-yl)-acetamide; 7-alpha-h-Colchicine; Acetamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(alpha)heptalen-7-yl)-; Benzo(a)heptalen-9(5H)-one, 7-acetamido-6,7-dihydro-1,2,3,10-tetramethoxy-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",10/1/1992,FR,,,10/1/1992,FR,,,,,,,,
Conjugated Estrogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,Currently listed,Developmental Toxicity,4/1/1990,FR,,,,,,,,,,,,
Copper,7440-50-8,"Electrical conductors, roofing and plumbing, industrial machinery, pesticide, antibiofouling surfaces; alloys for currency, jewelry, decoration, etc.; component of tobacco smoke",Arwood copper; Bronze bowder; Casell No. 227; Copper powder; Gold bronze; Kafar copper; OFHC Copper; Raney copper; EPA Pesticide Code: 022501,California Public Health Goals,,,,,100,Human,Respiratory irritation,Respiratory system,Mild,1999,,,,,,,"Digestive system toxicity (nausea, diarrhea)",n/a,1.3,n/a,,0.3,2008,,,,,,,,,,,,,,,,,,,,,,,
Copper and Copper Compounds,,"Electrical conductors, roofing and plumbing, industrial machinery, pesticide, antibiofouling surfaces; alloys for currency, jewelry, decoration, etc.; compounds for organic chemical synthesis, fungicide, test for reducing sugars, wood preservative, glass and ceramic glazes; component of tobacco smoke",,California Public Health Goals,,,,,100,Human,Respiratory irritation,Respiratory system,Mild,1999,,,,,,,"Digestive system toxicity (nausea, diarrhea)",n/a,1.3,n/a,,,2008,,,,,,,,,,,,,,,,,,,,,,,
Coumarin,91-64-5,"Pharmaceutic aid (flavor); deodorizing and odor enhancing agent in soaps, tobacco and rubber products;","2H-Chromen-2-one; 2H-1-Benzopyran-2-one; Cumarin; 1,2-Benzopyrone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,,,
Creosote (Coal Tar-Derived),8001-58-9,"Wood preservative, waterproofing agent, anti-fouling agent, lubricant, animal repellent, insecticide, animal dip, fungicide; component of roofing pitch, fuel oil; distillation product of coal tar, product of incomplete coal combustion",Creosote (Coal Tar-Derived),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creosotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
p-Cresidine,120-71-8,Chemical intermediate in production of azo dyes and pigments,2-Methyoxy-5-Methylaniline; 5-Methyl-o-anisidine; 1-amino-2-methoxy-5-methylbenzene; Azoic red 36; CI azoic red 83; Cresidine; Krezidin; 2-methoxy-5-methylaniline; 2-methoxy-5-methyl-benzenamine; 5-methyl-o-anisidine; NCI-C02982,Proposition 65 NSRLs/MADLs,4.3 E-5,1.5 E-1,1.5 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Cresol Mixtures,1319-77-3,"Extracted from coal tar and petroleum, or synthesized by sulfonation or oxidation of toluene; used in production of plastic, resins, coumarin, herbicides, degreasers, fumigants, pharmaceuticals, dyes; component of tobacco smoke",Bacillol; Coal tar acids; Cresylic acid; Cresylol; EPA Pesticide Code: 022101; Hydroxymethylbenzene; Methyl phenol; Tekresol; Tricresol,Chronic Reference Exposure Levels,,,,,,,,,,,,,600,,Nervous system,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumene,98-82-8,Production of cumene hydroperoxide,Isopropyl benzene; Isopropylbenzol; 2-Phenylpropane; (1-Methylethyl)benzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Cupferron,135-20-6,Analytical reagent used to separate and precipitate metals,Ammonium nitroso-beta-phenylhydroxylamine; Ammonium cupferron; Ammonium nitrosophenylhydroxylamine; NCI-C03258; N-nitrosophenylhydroxylamine ammonium salt,,6.3 E-5,2.2 E-1,2.2 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Cyanazine,21725-46-2,Herbicide,"2-(4-Chloro-6-ethylamino-1,3,5-triazine-2-ylamino)-2-methylpropionitrile; 2-Chloro-4-(1-cyano-1-methylethylamino)-6-ethylamino-1,3,5-triazine; s-Triazine, 2-chloro-4-ethylamino-6-(1-cyano-1-methyl)ethylamino-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,4/1/1990,FR,,,,,,,,,,,,
Cyanide,57-12-5,Gaseous pesticide (fumigant). Naturally found in stone fruit seeds and cassava roots.,Nitrile,Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,"Neurotoxicity, endocrine toxicity (thyroid)",n/a,0.15,n/a,,0.15,1997,,,,"10 µg/day (hydrogen cyanide), 19 µg/day (sodium cyanide), 25 µg/day (potassium cyanide)",2013,,,Currently listed,Male Reproductive Toxicity,,,,,7/5/2013,AB-US EPA,,,,,,,,
Cycasin,14901-08-7,"Phytotoxin found in cyads, which grow in many subtropical and tropical parts of the world and used for a starchy staple food in New Guinea and the Moluccas","beta-D-Glucopyranoside, ((Z)-methyl-ONN-azoxy) methyl; (Methyl-ONN-azoxy)-methyl-beta-D-glucopyranoside; beta-D-Glucosyloxyazoxymethane; Methylazoxymethanol glucoside; Methylazoxymethyl-b-D-glucopyranoside",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Cycloate,1134-23-2,"Herbicide (broad spectrum, pre-emergent)",5-Ethyl N-cyclohexyl N-ethyl thiocarbamate; s-Ethyl cyclohexyl(ethyl)thiocarbamate; s-Ethyl-N-ethyl-N-cyclohexylthiol-carbamate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,3/19/1999,AB-US EPA,,,,,,,,,,,,
Cyclohexanol,108-93-0,"Soap making to incorporate solvents and phenolic insecticides; source of adipic acid for nylon; textile finishing; solvent for alkyd and phenolic resins, cellulosics, blending agent, lacquers, paints and varnishes, finish removers, emulsified products, leather degreasing, polishes, plasticizers, plastics, and germicides",Cyclohexyl alcohol; Hexahydrophenol; Hydrophenol; Hexalin; Hydroxycyclohexane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formerly listed,Male Reproductive Toxicity,,,,,,AB-US EPA,,,,,,,,
Cycloheximide,66-81-9,Produced by bacterium Streptomyces griseus; research chemical (inhibitor of protein biosynthesis),"Cycloheximide liquor; ((Dimethyl-3,5oxo-2cyclohexyl)-2hydroxy-2ethyl)-3glutarimide; Ethyl-2,6-piperidinedione; Neocycloheximide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/1/1989,FR,,,,,,,,,,,,
Cyclopenta[cd]pyrene,27208-37-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Cyclophosphamide (Anhydrous),50-18-0,"Medicine (antineoplastic and immunosuppressive), defleecing sheep",1-bis(2-Chloroethyl)amino-1-oxo-2-aza-5-oxaphosphoridin; Cytophosphane; Cytoxan; Endoxan; Genoxal; NSC 26271; Procytox; Sendoxan,,1.7 E-4,6.1 E-1,6.1 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,LC,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",1/1/1989,SQE,1/1/1989,FR,1/1/1989,FR,,,,,,,,
Cyclophosphamide (Hydrated),6055-19-2,"Medicine (antineoplastic- treatment for malignant lymphoma, multiple myeloma, leukemias), defleecing sheep, insect sterilant",Cyclophosphamide monohydrate; Endoxan monohydrate; Genoxal; Mitoxan,,1.6 E-4,5.7 E-1,5.7 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,LC,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",1/1/1989,SQE,1/1/1989,FR,1/1/1989,FR,,,,,,,,
Cyhexatin,13121-70-5,"Insecticide, acaricide",Tricyclohexyltin hydroxide; Tricyclohexylhydroxytin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/1/1989,FR,,,,,,,,,,,,
Cyromazine,66215-27-8,insect growth regulator used as an insecticide and an acaricide,"Citation, Larvadex, Trigard, Vetrazin, N-Cyclopropyl-1,3,5-triazine-2,4,6-triamine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytarabine,147-94-4,"Medicine (antineoplastic, antiviral)",1-[beta-D-arabinofuranosyl]cytosine; 4-Amino-1-beta-D-arabinofuranosyl-2(1H)-pyrimidinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/1/1989,SQE,,,,,,,,,,,,
Cytembena,21739-91-3,Medicine (treatment for cancer); not produced or used in the US,"(E)-3-(p-Anisoyl)-3-bromoacrylic acid sodium salt; (E)-3-Bromo-4-(4-methoxyphenyl)-4-oxo-2-butenoic acid sodium salt; 2-Butenoic acid, 3-bromo-4-(4-methoxyphenyl)-4-oxo-, sodium salt, (E)-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
D&C Orange No. 17,3468-63-1,Removed from FDA authorized color additives list in 1983,"Pigment Orange 5; 2-Naphthalenol, 1-[(2,4-dinitrophenyl)azo]-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-FDA,,,,,,,,,,,,,,,,
D&C Red No. 19,81-88-9,Removed from FDA authorized color additives list in 1984,"[9-(2-Carboxyphenyl)-6-diethylamino-3-xanthenylidene]-diethylammonium chloride; Rhodamine B; Rhodamine 610, C.I. Pigment Violet 1, Basic Violet 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-FDA,,,,,,,,,,,,,,,,
D&C Red No. 8,2092-56-0,Removed from FDA authorized color additives list in 1987,C.I. 15585; C.I. Pigment Red 53 (7CI); D&C Red No. 8; Pigment Red 53 (C.I.); sodium 5-chloro-2-(2-hydroxy-1-naphthylazo)toluene-4-sulfonate; [5-chloro-2-[(2-hydroxy-1-naphthyl)azo]-4-methyl-phenyl]sulfonyloxysodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-FDA,,,,,,,,,,,,,,,,
D&C Red No. 9,2/1/5160,"Pigment in topical drugs and cosmetics. Certified grade of CI Pigment Red 53:1 (pigment in inks, paper, crayons, rubber, enamel)","Astro orange; Atomic red; Brilliant red; Carnation red; C.I. Pigment Red 53:1; 1-(4-Chloro-o-sulfo-5-tolylazo)-2-naphthol, barium salt; D&C Red #9; Desert red; Eljon lake red; Pigment lake red LC; Red No 204; Sanyo lake red cVulcafor red 2R",Proposition 65 NSRLs/MADLs,1.5 E-6,5.3 E-3,5.3 E-3,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,"AB-FDA, AB-NTP",,,,,,,,,,,,,,,,
Dacarbazine,3/4/4342,Medicine (antineoplastic),"DIC; (Dimethyltriazeno)imidazolecarboxamide) DTIC; NCI-C04717; NSC-45388; 5-(3,3-Dimethyl-1-triazenyl)imidazole-4-carboxamide",Proposition 65 NSRLs/MADLs,1.4 E-2,4.9 E+1,4.9 E+1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,Currently listed,Developmental Toxicity,1/29/1999,FR,,,,,,,,,,,,
Dalapon,75-99-0,Previously used as an herbicide,"2,2-dichloropropanoic acid, Alatex; Basinex; BH Dalapon; Dalapon sodium; Crisapon; Alpha-dichloropropionic acid; Dowpon; DPA; Gramevin; Kenapon; Liropon; Proprop; Radapon; Sodium dalapon;Unipon; EPA Pesticide Code: 028901",California Public Health Goals,,,,,,,,,,,,,,,,,Nephrotoxicity,n/a,0.2,n/a,,0.79,2009,,,,,,,,,,,,,,,,,,,,,,,
Daminozide,1596-84-5,Plant growth retardant. No agricultural food use in US since 1989.,"Alar; Aminozide; Dimas; Mono(2,2-dimethylhydrazide)butanedioic acid; dimethylaminosuccinamic acid; DMASA; DMSA; Dyak; Yklar; NCI-C03827; SADH; Succinic acid n,n-dimethylhydrazine; EPA Pesticide Code: 035101",Proposition 65 NSRLs/MADLs,5.1 E-6,1.8 E-2,1.8 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Danazol,17230-88-5,"Medicine (modified progestogen, treatment for endometriosis)","17alpha-Pregna-2,4-dien-20-yno(2,3-d)isoxazol-17-ol; 17-alpha-2,4-Pregnadien-20-yno(2,3-d)isoxazol-17-ol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,4/1/1990,FR,,,,,,,,,,,,
Dantron,117-10-2,"Medicine (palliative- laxative), chemical intermediate (dyes)","Chrysazin;1,8-Dihydroxyanthraquinone; Dioxyanthrachinonum",Proposition 65 NSRLs/MADLs,2.2 E-5,7.6 E-2,7.6 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Daunomycin,20830-81-3,Medicine (chemotherapeutic),"Daunorubicin; Rubomycin C; (8S,10S)-8-acetyl-10-[(2S,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-oxan-2-yl]oxy-6,8,11-trihydroxy-1-methoxy-9,10-dihydro-7H-tetracene-5,12-dione",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Daunorubicin Hydrochloride,23541-50-6,Used to treat acute myelogenous leukemia (AML) and acute lymphoblastic leukemia (ALL).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,7/1/1990,FR,,,,,,,,,,,,
"o,p'-DDT",789-02-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",5/15/1998,"AB-NIOSH, AB-US EPA",5/15/1998,"AB-NIOSH, AB-US EPA",5/15/1998,"AB-NIOSH, AB-US EPA",,,,,,,,
"DDT, DDD, DDE (combination)",n/a,"DDT is an insecticide currently used for public health emergencies only. DDD and DDE are degradation products of DDT, and are commonly detected in the environment alongside DDT.","CAS numbers 50-29-3 (DDT), 72-54-8 (DDD), and 72-55-9 (DDE). Dichlorodiphenyltrichloroethane: Azotox; Chlofenotan; Chlorophenothane; Chlorphenotoxum; Citox; Clofenotane; DDT; Dedelo; Deoval; Detox; Dibovin; Dicophane; Dodat; Dykol; Estonate; Genitox; Gesafid; Gesarex; Gesarol; Gyron; Hildit; Ivoran; Ixodex; Kopsol; Mutoxan; NCI-C00464; Neocid; Caswell No. 308; Parachlorocidum; Pentachlorin; Pentacidium; Rukseam; Tafidex; Zeidane; Zerdane; 1,1-Bis(4-chlorophenyl)-2,2,2-trichloroethane; EPA Pesticide Code: 029201 Dichlorodiphenyldichloroethylene: DDE; DDT Dehydrochloride; 1,1-dichloro-2,2-bis(p-chlorophenyl)ethylene; p,p'-DDE; p,p'-dichlorodiphenyldichloroethylene; NCI-C00555 Dichlorodiphenyldichloroethane: DDD; Dichlorodiphenyl Dichloroethane; p,p'-dichlorodiphenyldichloroethane; Dilene; NCI-C00475; Caswell No. 307; 1,1-Dichloro-2,2-bis(p-chlorophenyl)ethane; p,p'-DDD; Rhothane; Rothane; Tetrachlorodiphenylethane; TDE; EPA Pesticide Code: 029101",,,,,,,,,,,,,,,,,,,,,,,,,2 µg/day,2 µg/day,,,,,,,,,,,,,,,,,,,,,
"Delta-8,9-isomer of Avermectin B1",,Plant photo-degradate of the pesticide Avermectin B1,Avermectin B(1)a; Abamectin; Abamectin component B1a; Abamectine [French]; Abamectinum [Latin],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
