STATE OF CALIFORNIA,,,,,,,,,,,,
ENVIRONMENTAL PROTECTION AGENCY,,,,,,,,,,,,
OFFICE OF ENVIRONMENTAL HEALTH HAZARD ASSESSMENT,,,,,,,,,,,,
SAFE DRINKING WATER AND TOXIC ENFORCEMENT ACT OF 1986,,,,,,,,,,,,
,,,,,,,,,,,,
CHEMICALS KNOWN TO THE STATE TO CAUSE CANCER OR REPRODUCTIVE TOXICITY,,,,,,,,,,,,
13-Sep-19,,,,,,,,,,,,
,,,,,,,,,,,,
"The Safe Drinking Water and Toxic Enforcement Act of 1986 requires that the Governor revise and republish at least once per year the list of chemicals known to the State to cause cancer or reproductive toxicity.  For easy reference, chemicals which are newly added are shown in underline.  Chemicals or endpoints shown in strikeout were placed on the Proposition 65 list on the date noted, and have subsequently been removed.  A hyperlink is provided for the basis for removing the chemical.",,,,,,,,,,,,
"In the Listing Mechanism column, ""AB"" denotes authoritative bodies, ""SQE"" denotes State's Qualified Experts, ""FR"" denotes formally required to be labeled or identified, and ""LC"" denotes Labor Code.  For those chemicals for which the basis for listing documentation is available electronically, a hyperlink to the documentation is provided.  The identification number indicated in the following list is the Chemical Abstracts Service (CAS) Registry Number.  No CAS number is given when several substances are presented as a single listing.  The date refers to the initial appearance of the chemical on the list.  For those chemicals for which a no significant risk level (NSRL) for carcinogens or maximum allowable dose level (MADL) for reproductive toxicants has been adopted, it is denoted in the column, ""NSRL or MADL.""  For those NSRLs or MADLs for which the risk assessment documentation is available electronically, a hyperlink to the documentation is provided.",,,,,,,,,,,,
,,,,,,,,,,,,
Chemical,Type of Toxicity,Listing Mechanism,CAS No.,Date Listed,NSRL or MADL (µg/day)a,,,,,,,
"2,4-Diamino-6-chloro-s-triazine (DACT)","developmental, female",AB,3397-62-4,15-Jul-16,100 (oral),,,,,,,
"4,4'-Diaminodiphenyl ether (4,4'-Oxydianiline)",cancer,SQE,101-80-4,1-Jan-88,5,,,,,,,
"2,4-Diaminotoluene",cancer,SQE,95-80-7,1-Jan-88,0.2,,,,,,,
"Diaminotoluene (mixed) Delisted November, 20 2015 [Click here for the basis for delisting]",cancer,AB, ---,1-Jan-90,,,,,,,,
Diazepam,developmental,FR,439-14-5,1-Jan-92,,,,,,,,
Diazoaminobenzene,cancer ,LC,136-35-6,20-May-05,,,,,,,,
Diazoxide,developmental ,FR,364-98-7,27-Feb-01,,,,,,,,
"Dibenz[a,h]acridine",cancer,SQE,226-36-8,1-Jan-88,,,,,,,,
"Dibenz[a,j]acridine",cancer,SQE,224-42-0,1-Jan-88,,,,,,,,
Dibenzanthracenes,cancer,SQE, ---,26-Dec-14,,,,,,,,
"Dibenz[a,c]anthracene",cancer,SQE,215-58-7,26-Dec-14,,,,,,,,
"Dibenz[a,h]anthracene",cancer,SQE,53-70-3,1-Jan-88,0.2,,,,,,,
"Dibenz[a,j]anthracene",cancer,SQE,224-41-9,26-Dec-14,,,,,,,,
"7H-Dibenzo[c,g]carbazole",cancer,SQE,194-59-2,1-Jan-88,0.0030 (oral),,,,,,,
"Dibenzo[a,e]pyrene",cancer,SQE,192-65-4,1-Jan-88,,,,,,,,
"Dibenzo[a,h]pyrene",cancer,SQE,189-64-0,1-Jan-88,0.0054 (oral),,,,,,,
"Dibenzo[a,i]pyrene",cancer,SQE,189-55-9,1-Jan-88,0.0050 (oral),,,,,,,
"Dibenzo[a,l]pyrene",cancer,SQE,191-30-0,1-Jan-88,,,,,,,,
Dibromoacetic acid,cancer,AB,631-64-1,17-Jun-08,,,,,,,,
Dibromoacetonitrile,cancer,AB,3252-43-5,3-May-11,,,,,,,,
"1,2-Dibromo-3-chloropropane  (DBCP)",cancer,FR,96-12-8,1-Jul-87,0.1,,,,,,,
"1,2-Dibromo-3-chloropropane  (DBCP) [Basis for listing changed effective November 22, 2013]",male,FR,96-12-8,27-Feb-87,"3.1 (oral)
4.3 (inhalation) ",,,,,,,
"2,3-Dibromo-1-propanol",cancer,AB,96-13-9,1-Oct-94,,,,,,,,
Dichloroacetic acid,cancer,AB,79-43-6,1-May-96,,,,,,,,
Dichloroacetic acid,"developmental, male",AB,79-43-6,7-Aug-09,,,,,,,,
p-Dichlorobenzene,cancer,SQE,106-46-7,1-Jan-89,20,,,,,,,
"3,3'-Dichlorobenzidine",cancer,SQE,91-94-1,1-Oct-87,0.6,,,,,,,
"3,3'-Dichlorobenzidine dihydrochloride",cancer ,AB,612-83-9,15-May-98,,,,,,,,
"1,1-Dichloro-2,2-bis(p-chloropheny)ethylene (DDE)","developmental, male ",AB,72-55-9,30-Mar-10,,,,,,,,
"1,4-Dichloro-2-butene",cancer,AB,764-41-0,1-Jan-90,,,,,,,,
"3,3'-Dichloro-4,4'-diamino-diphenyl ether",cancer,SQE,28434-86-8,1-Jan-88,,,,,,,,
"1,1-Dichloroethane",cancer,AB,75-34-3,1-Jan-90,100,,,,,,,
Dichloromethane (Methylene chloride),cancer,SQE,75-09-2,1-Apr-88,"50
200 (inhalation)",,,,,,,
"1,4-Dichloro-2-nitrobenzene",cancer,LC,89-61-2,13-Sep-19,,,,,,,,
"2,4-Dichloro-1-nitrobenzene",cancer,LC,611-06-3,13-Sep-19,,,,,,,,
Dichlorophene,developmental ,AB,97-23-4,27-Apr-99,,,,,,,,
Dichlorphenamide,developmental ,FR,120-97-8,27-Feb-01,,,,,,,,
"1,2-Dichloropropane",cancer,AB,78-87-5,1-Jan-90,9.7,,,,,,,
"1,3-Dichloro-2-propanol (1,3-DCP)",cancer,SQE,96-23-1,8-Oct-10,,,,,,,,
"1,3-Dichloropropene",cancer,SQE,542-75-6,1-Jan-89,,,,,,,,
Diclofop-methyl,cancer ,AB,51338-27-3,6-Apr-10,,,,,,,,
Diclofop methyl,developmental ,AB                        ,51338-27-3,5-Mar-99,,,,,,,,
Dicumarol,developmental,FR,66-76-2,1-Oct-92,,,,,,,,
Dieldrin,cancer,SQE,60-57-1,1-Jul-88,0.04,,,,,,,
"Dienestrol Delisted January 4, 2013 [Click here for the basis for delisting]",cancer,LC,84-17-3,1-Jan-90,,,,,,,,
Diepoxybutane,cancer,SQE,1464-53-5,1-Jan-88,,,,,,,,
Diesel engine exhaust,cancer,AB,---,1-Oct-90,,,,,,,,
Diethanolamine,cancer,LC,111-42-2,22-Jun-12,,,,,,,,
Di(2-ethylhexyl)phthalate (DEHP),cancer,SQE,117-81-7,1-Jan-88,310,,,,,,,
Di(2-ethylhexyl)phthalate (DEHP),"developmental, male ",AB,117-81-7,24-Oct-03,,,,,,,,
   Adultb,,,,,4200 (intravenous)        ,,,,,,,
"   Infant boys, age 29 days to 24 monthsb",,,,,600 (intravenous),,,,,,,
"   Neonatal infant boys, age 0 to 28 daysb",,,,,210 (intravenous),,,,,,,
   Adultb,,,,,410 (oral),,,,,,,
"   Infant boys, age 29 days to 24 monthsb",,,,,58 (oral),,,,,,,
"   Neonatal infant boys, age 0 to 28 daysb",,,,,20 (oral),,,,,,,
"1,2-Diethylhydrazine",cancer,SQE,1615-80-1,1-Jan-88,,,,,,,,
Diethylstilbestrol (DES) ,cancer,LC,56-53-1,27-Feb-87,0.002,,,,,,,
Diethylstilbestrol (DES) ,developmental,FR,56-53-1,1-Jul-87,,,,,,,,
Diethyl sulfate,cancer,SQE,64-67-5,1-Jan-88,,,,,,,,
Diflunisal,"developmental, female ",FR,22494-42-4,29-Jan-99,,,,,,,,
"Diglycidyl ether Delisted April 4, 2014 [Click here for the basis for delisting]",male ,LC,2238-07-5,7-Aug-09,,,,,,,,
Diglycidyl resorcinol ether (DGRE),cancer,SQE,101-90-6,1-Jul-89,0.4,,,,,,,
Dihydroergotamine mesylate ,developmental ,FR,6190-39-2,1-May-97,,,,,,,,
Dihydrosafrole,cancer,SQE,94-58-6,1-Jan-88,20,,,,,,,
Di-isodecyl phthalate (DIDP),developmental ,AB,68515-49-1/      26761-40-0,20-Apr-07,2200,,,,,,,
Diisononyl phthalate (DINP),cancer,SQE, ---,20-Dec-13,146,,,,,,,
Diisopropyl sulfate,cancer,AB,2973-10-6,1-Apr-93,,,,,,,,
Diltiazem hydrochloride ,developmental ,FR,33286-22-5,27-Feb-01,,,,,,,,
"3,3'-Dimethoxybenzidine (o-Dianisidine)",cancer,SQE,119-90-4,1-Jan-88,0.15,,,,,,,
"3,3'-Dimethoxybenzidine dihydrochloride",cancer,AB,20325-40-0,1-Oct-90,0.19,,,,,,,
"3,3'-Dimethoxybenzidine-based dyes metabolized to 3,3'-dimethoxybenzidine",cancer ,AB, ---,11-Jun-04,,,,,,,,
"N,N-Dimethylacetamide",cancer,LC,127-19-5,13-Sep-19,,,,,,,,
"N,N-Dimethylacetamide [Click here for the basis for addition of male reproductive endpoint, effective December 20, 2013]","developmental, male ",SQE,127-19-5,21-May-10,,,,,,,,
4-Dimethylaminoazobenzene,cancer,SQE,60-11-7,1-Jan-88,0.2,,,,,,,
"trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)vinyl]-1,3,4-oxadiazole",cancer,SQE,55738-54-0,1-Jan-88,2,,,,,,,
"7,12-Dimethylbenz(a)anthracene",cancer,AB,57-97-6,1-Jan-90,0.003,,,,,,,
"3,3'-Dimethylbenzidine (ortho-Tolidine)",cancer,SQE,119-93-7,1-Jan-88,0.044,,,,,,,
"3,3'-Dimethylbenzidine-based dyes metabolized to 3,3'-dimethylbenzidine",cancer ,AB, ---,11-Jun-04,,,,,,,,
"3,3'-Dimethylbenzidine dihydrochloride",cancer,AB,612-82-8,1-Apr-92,0.059,,,,,,,
Dimethylcarbamoyl chloride,cancer,SQE,79-44-7,1-Jan-88,0.05,,,,,,,
"N,N-Dimethylformamide",cancer,LC,68-12-2,27-Oct-17,,,,,,,,
"1,1-Dimethylhydrazine (UDMH)",cancer,LC,57-14-7,1-Oct-89,,,,,,,,
"1,2-Dimethylhydrazine",cancer,SQE,540-73-8,1-Jan-88,0.001,,,,,,,
"2,6-Dimethyl-N-nitrosomorpholine (DMNM)",cancer,SQE,1456-28-6,8-Feb-13,,,,,,,,
Dimethyl sulfate,cancer,SQE,77-78-1,1-Jan-88,,,,,,,,
"N,N-Dimethyl-p-toluidine",cancer,AB,99-97-8,2-May-14,,,,,,,,
Dimethylvinylchloride,cancer,SQE,513-37-1,1-Jul-89,20,,,,,,,
Di-n-butyl phthalate (DBP),"developmental, female, male ",AB,84-74-2,2-Dec-05,8.7,,,,,,,
Di-n-hexyl phthalate (DnHP),"female, male ",AB,84-75-3,2-Dec-05,2200 (oral),,,,,,,
m-Dinitrobenzene,male,AB,99-65-0,1-Jul-90,38,,,,,,,
o-Dinitrobenzene,male,AB,528-29-0,1-Jul-90,,,,,,,,
p-Dinitrobenzene,male,AB,100-25-4,1-Jul-90,,,,,,,,
"3,7-Dinitrofluoranthene",cancer ,AB,105735-71-5,26-Aug-97,,,,,,,,
"3,9-Dinitrofluoranthene",cancer ,AB,22506-53-2,26-Aug-97,,,,,,,,
"1,3-Dinitropyrene",cancer,LC,75321-20-9,2-Nov-12,,,,,,,,
"1,6-Dinitropyrene",cancer,AB,42397-64-8,1-Oct-90,,,,,,,,
"1,8-Dinitropyrene",cancer,AB,42397-65-9,1-Oct-90,,,,,,,,
"2,4-Dinitrotoluene",cancer,SQE,121-14-2,1-Jul-88,2,,,,,,,
"2,4-Dinitrotoluene",male ,AB,121-14-2,20-Aug-99,,,,,,,,
"2,6-Dinitrotoluene",cancer,SQE,606-20-2,1-Jul-95,,,,,,,,
"2,6-Dinitrotoluene",male ,AB,606-20-2,20-Aug-99,,,,,,,,
Dinitrotoluene (technical grade),"female, male ",AB,---,20-Aug-99,,,,,,,,
"Dinitrotoluene mixture, 2,4-/2,6-",cancer,AB,---,1-May-96,,,,,,,,
Dinocap,developmental,FR,39300-45-3,1-Apr-90,,,,,,,,
Dinoseb,"developmental, male",FR,88-85-7,1-Jan-89,,,,,,,,
Di-n-propyl isocinchomeronate (MGK Repellent 326),cancer,AB,136-45-8,1-May-96,,,,,,,,
"1,4-Dioxane",cancer,SQE,123-91-1,1-Jan-88,30,,,,,,,
Diphenylhydantoin (Phenytoin),cancer,SQE,57-41-0,1-Jan-88,,,,,,,,
Diphenylhydantoin (Phenytoin),developmental,SQE,57-41-0,1-Jul-87,,,,,,,,
"Diphenylhydantoin (Phenytoin), sodium salt",cancer,SQE,630-93-3,1-Jan-88,,,,,,,,
Direct Black 38 (technical grade),cancer,SQE,1937-37-7,1-Jan-88,0.09,,,,,,,
Direct Blue 6 (technical grade),cancer,SQE,2602-46-2,1-Jan-88,0.09,,,,,,,
Direct Brown 95 (technical grade),cancer,SQE,16071-86-6,1-Oct-88,0.1,,,,,,,
Disodium cyanodithioimidocarbonate,developmental ,AB,138-93-2,30-Mar-99,"56 (oral)
170 (oral) as 32% pesticidal formulation",,,,,,,
Disperse Blue 1,cancer,AB,2475-45-8,1-Oct-90,200,,,,,,,
Diuron,cancer,AB,330-54-1,31-May-02,,,,,,,,
Doxorubicin hydrochloride (Adriamycin),cancer,SQE,25316-40-9,1-Jul-87,,,,,,,,
Doxorubicin hydrochloride (Adriamycin),"developmental, male ",FR,25316-40-9,29-Jan-99,,,,,,,,
Doxycycline (internal use),developmental,FR,564-25-0,1-Jul-90,,,,,,,,
Doxycycline calcium (internal use),developmental,FR,94088-85-4,1-Jan-92,,,,,,,,
Doxycycline hyclate (internal use),developmental,FR,24390-14-5,1-Oct-91,,,,,,,,
Doxycycline monohydrate (internal use),developmental,FR,17086-28-1,1-Oct-91,,,,,,,,
"2,4-DP (dichloroprop)  Delisted January 25, 2002 [Click here for the basis for delisting]",developmental ,AB,120-36-5,27-Apr-99,,,,,,,,
,,,,,,,,,,,,
Emissions from combustion of coal,cancer,AB, ---,7-Aug-13,,,,,,,,
Emissions from high-temperature unrefined rapeseed oil,cancer,AB, ---,3-Jan-14,,,,,,,,
Endrin ,developmental ,AB,72-20-8,15-May-98,,,,,,,,
Environmental tobacco smoke (ETS),developmental,SQE,  ---,9-Jun-06,,,,,,,,
Epichlorohydrin,cancer,SQE,106-89-8,1-Oct-87,9,,,,,,,
Epichlorohydrin,male,AB,106-89-8,1-Sep-96,,,,,,,,
Epoxiconazole,cancer,AB,135319-73-2,15-Apr-11,,,,,,,,
Ergotamine tartrate ,developmental,FR,379-79-3,1-Apr-90,,,,,,,,
Erionite,cancer,SQE,12510-42-8; 66733-21-9,1-Oct-88,,,,,,,,
Estradiol 17B,cancer,SQE,50-28-2,1-Jan-88,0.02,,,,,,,
Estragole,cancer,SQE,140-67-0,29-Oct-99,,,,,,,,
"Estrogens, steroidal",cancer,LC,  ---,19-Aug-05,,,,,,,,
Estrogen-progestogen (combined) used as menopausal therapy,cancer,LC, ---,4-Nov-11,,,,,,,,
Estrone,cancer,SQE,53-16-7,1-Jan-88,,,,,,,,
Estropipate ,"cancer, developmental ",FR,7280-37-7,26-Aug-97,,,,,,,,
Ethinylestradiol,cancer,SQE,57-63-6,1-Jan-88,,,,,,,,
Ethionamide ,developmental,FR,536-33-4,26-Aug-97,,,,,,,,
Ethoprop,cancer ,AB,13194-48-4,27-Feb-01,,,,,,,,
Ethyl acrylate,cancer,SQE,140-88-5,1-Jul-89,,,,,,,,
Ethyl alcohol in alcoholic beverages,developmental,SQE,---,1-Oct-87,,,,,,,,
Ethylbenzene,cancer ,AB,100-41-4,11-Jun-04,"54 (inhalation)
41 (oral)",,,,,,,
"Ethyl-tert-butyl ether  Delisted December 13, 2013 [Click here for the basis for delisting]",male ,LC,637-92-3,18-Dec-09,,,,,,,,
Ethyl dipropylthiocarbamate ,developmental ,AB,759-94-4,27-Apr-99,"700 (oral and inhalation)
6700 (dermal)",,,,,,,
"Ethyl-4,4'-dichlorobenzilate",cancer,AB,510-15-6,1-Jan-90,7,,,,,,,
Ethylene dibromide ,cancer,FR,106-93-4,1-Jul-87,"0.2 (oral)
3 (inhalation)",,,,,,,
Ethylene dibromide ,"developmental, male ",AB,106-93-4,15-May-98,,,,,,,,
"Ethylene dichloride (1,2-Dichloroethane)",cancer,SQE,107-06-2,1-Oct-87,10,,,,,,,
Ethylene glycol (ingested),developmental,AB,107-21-1,19-Jun-15,8700 (oral),,,,,,,
Ethylene glycol monoethyl ether,"developmental, male",SQE,110-80-5,1-Jan-89,"750 (oral)
960 (inhalation)",,,,,,,
Ethylene glycol monoethyl ether acetate,"developmental, male",AB,111-15-9,1-Jan-93,"1100 (oral)
1400 (inhalation)",,,,,,,
Ethylene glycol monomethyl ether,"developmental, male",SQE,109-86-4,1-Jan-89,63 (oral),,,,,,,
Ethylene glycol monomethyl ether acetate,"developmental, male",AB,110-49-6,1-Jan-93,98 (oral),,,,,,,
Ethyleneimine (Aziridine),cancer,SQE,151-56-4,1-Jan-88,0.01,,,,,,,
Ethylene oxide,cancer,FR,75-21-8,1-Jul-87,2,,,,,,,
"Ethylene oxide [Basis for listing changed effective November 22, 2013]",female,FR,75-21-8,27-Feb-87,20,,,,,,,
"Ethylene oxide [Basis for listing changed effective November 22, 2013]","developmental, male ",FR,75-21-8,7-Aug-09,20,,,,,,,
Ethylene thiourea,cancer,AB,96-45-7,1-Jan-88,20,,,,,,,
Ethylene thiourea,developmental,SQE,96-45-7,1-Jan-93,,,,,,,,
"2-Ethylhexanoic acid  Delisted December 13, 2013 [Click here for the basis for delisting]",developmental ,LC,149-57-5,7-Aug-09,,,,,,,,
Ethyl methanesulfonate,cancer,SQE,62-50-0,1-Jan-88,,,,,,,,
Etodolac,"developmental, female  ",FR,41340-25-4,20-Aug-99,,,,,,,,
Etoposide,cancer,LC,33419-42-0,4-Nov-11,,,,,,,,
Etoposide,developmental,FR,33419-42-0,1-Jul-90,,,,,,,,
Etoposide in combination with cisplatin and bleomycin,cancer,LC, ---,4-Nov-11,,,,,,,,
Etretinate,developmental,SQE,54350-48-0,1-Jul-87,,,,,,,,
,,,,,,,,,,,,
Fenoxaprop ethyl,developmental ,AB,66441-23-4 ,26-Mar-99,,,,,,,,
Fenoxycarb,cancer ,AB,72490-01-8,2-Jun-00,,,,,,,,
Filgrastim,developmental ,FR,121181-53-1,27-Feb-01,,,,,,,,
Fluazifop butyl,developmental ,AB,69806-50-4,6-Nov-98,,,,,,,,
Flunisolide,"developmental, female ",FR,3385-03-3,15-May-98,,,,,,,,
Fluorouracil,developmental,SQE,51-21-8,1-Jan-89,,,,,,,,
Fluoxymesterone,developmental,FR,76-43-7,1-Apr-90,,,,,,,,
Flurazepam hydrochloride,developmental,FR,1172-18-5,1-Oct-92,,,,,,,,
Flurbiprofen,"developmental, female ",FR,5104-49-4,20-Aug-99,,,,,,,,
Flutamide,developmental,FR,13311-84-7,1-Jul-90,,,,,,,,
Fluticasone propionate,developmental ,FR,80474-14-2,15-May-98,,,,,,,,
Fluvalinate,developmental ,AB,69409-94-5,6-Nov-98,,,,,,,,
Folpet,cancer,SQE,133-07-3,1-Jan-89,200,,,,,,,
Formaldehyde (gas),cancer,SQE,50-00-0,1-Jan-88,40,,,,,,,
2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,cancer,SQE,3570-75-0,1-Jan-88,0.3,,,,,,,
Fumonisin B1,cancer,AB,116355-83-0,14-Nov-03,,,,,,,,
Furan,cancer,AB,110-00-9,1-Oct-93,,,,,,,,
Furazolidone,cancer,AB,67-45-8,1-Jan-90,,,,,,,,
Furfuryl alcohol,cancer,AB,98-00-0,30-Sep-16,,,,,,,,
Furmecyclox,cancer,AB,60568-05-0,1-Jan-90,20,,,,,,,
Fusarin C,cancer,SQE,79748-81-5,1-Jul-95,,,,,,,,
,,,,,,,,,,,,
Gallium arsenide,cancer ,LC,1303-00-0,1-Aug-08,,,,,,,,
Ganciclovir,"cancer, developmental, male ",FR,82410-32-0,26-Aug-97,,,,,,,,
Ganciclovir sodium,"developmental, male ",FR,107910-75-8,26-Aug-97,,,,,,,,
Gasoline engine exhaust (condensates/extracts),cancer,AB,---,1-Oct-90,,,,,,,,
Gemfibrozil,cancer,FR,25812-30-0,22-Dec-00,,,,,,,,
Gemfibrozil,"female, male ",FR,25812-30-0,20-Aug-99,,,,,,,,
Gentian violet (Crystal violet),cancer,SQE,548-62-9,23-Nov-18,,,,,,,,
Glass wool fibers (inhalable and biopersistent),cancer,AB,---,1-Jul-90,,,,,,,,
"Glu-P-1 (2-Amino-6-methyldipyrido[1,2- a:3',2'-d]imidazole)",cancer,AB,67730-11-4,1-Jan-90,0.1,,,,,,,
"Glu-P-2 (2-Aminodipyrido[1,2-a:3',2'-d]imidazole)",cancer,AB,67730-10-3,1-Jan-90,0.5,,,,,,,
Glycidaldehyde,cancer,SQE,765-34-4,1-Jan-88,,,,,,,,
Glycidol,cancer,AB,556-52-5,1-Jul-90,0.54,,,,,,,
Glyphosate,cancer,LC,1071-83-6,7-Jul-17,1100,,,,,,,
Goldenseal root powder,cancer,LC,---,4-Dec-15,,,,,,,,
Goserelin acetate,"developmental, female, male ",FR,65807-02-5,26-Aug-97,,,,,,,,
Griseofulvin,cancer,AB,126-07-8,1-Jan-90,,,,,,,,
Gyromitrin (Acetaldehyde methylformylhydrazone),cancer,SQE,16568-02-8,1-Jan-88,0.07,,,,,,,
,,,,,,,,,,,,
Halazepam,developmental,FR,23092-17-3,1-Jul-90,,,,,,,,
Halobetasol propionate,developmental ,FR,66852-54-8,20-Aug-99,,,,,,,,
Haloperidol,"developmental, female ",FR,52-86-8,29-Jan-99,,,,,,,,
Halothane,developmental,FR,151-67-7,1-Sep-96,,,,,,,,
HC Blue 1,cancer,SQE,2784-94-3,1-Jul-89,10,,,,,,,
Heptachlor,cancer,SQE,76-44-8,1-Jul-88,0.2,,,,,,,
Heptachlor,developmental,AB,76-44-8,20-Aug-99,,,,,,,,
Heptachlor epoxide,cancer,SQE,1024-57-3,1-Jul-88,0.08,,,,,,,
Herbal remedies containing plant species of the genus Aristolochia,cancer ,LC,  ---,9-Jul-04,,,,,,,,
Hexachlorobenzene,cancer,SQE,118-74-1,1-Oct-87,0.4,,,,,,,
Hexachlorobenzene,developmental,SQE,118-74-1,1-Jan-89,,,,,,,,
Hexachlorobutadiene,cancer,AB,87-68-3,3-May-11,,,,,,,,
Hexachlorocyclohexane (technical grade),cancer,SQE,---,1-Oct-87,0.2,,,,,,,
   Hexachlorocyclohexane (alpha isomer),,,,,0.3,,,,,,,
   Hexachlorocyclohexane (beta isomer),,,,,0.5,,,,,,,
   Hexachlorocyclohexane (gamma isomer),,,,,0.6,,,,,,,
Hexachlorodibenzodioxin,cancer,SQE,34465-46- 8,1-Apr-88,0.0002,,,,,,,
Hexachloroethane,cancer,AB,67-72-1,1-Jul-90,20,,,,,,,
"2,4-Hexadienal (89% trans, trans isomer; 11% cis, trans isomer)",cancer,AB,  ---,4-Mar-05,,,,,,,,
"Hexafluoroacetone [Basis for listing changed effective June 6, 2014]","developmental, male",LC SQE,684-16-2,1-Aug-08,,,,,,,,
Hexamethylphosphoramide,cancer,SQE,680-31-9,1-Jan-88,,,,,,,,
Hexamethylphosphoramide,male,AB,680-31-9,1-Oct-94,,,,,,,,
n-Hexane,male,SQE,110-54-3,15-Dec-17,"28,000 (oral)
20,000 (inhalation)",,,,,,,
"2,5-Hexanedione",male,SQE,110-13-4,4-Dec-15,,,,,,,,
Histrelin acetate,developmental ,FR,---,15-May-98,,,,,,,,
Hydramethylnon,"developmental, male ",AB,67485-29-4,5-Mar-99,120 (oral),,,,,,,
Hydrazine,cancer,SQE,302-01-2,1-Jan-88,0.04,,,,,,,
Hydrazine sulfate,cancer,SQE,10034-93-2,1-Jan-88,0.2,,,,,,,
"Hydrazobenzene (1,2-Diphenylhydrazine)",cancer,SQE,122-66-7,1-Jan-88,0.8,,,,,,,
Hydrogen cyanide (HCN) and cyanide salts (CN salts),male,AB, ---,5-Jul-13,,,,,,,,
  Cyanide salts that readily dissociate in solution (expressed as cyanide)f,,,,,9.8,,,,,,,
  Hydrogen cyanidef,,,,,10 (oral),,,,,,,
  Sodium cyanidef,,,,,19 (oral),,,,,,,
  Potassium cyanidef,,,,,25 (oral),,,,,,,
1-Hydroxyanthraquinone,cancer,LC,129-43-1,27-May-05,,,,,,,,
Hydroxyurea,developmental ,FR,127-07-1,1-May-97,,,,,,,,
,,,,,,,,,,,,
Idarubicin hydrochloride,"developmental, male ",FR,57852-57-0,20-Aug-99,,,,,,,,
Ifosfamide,developmental,FR,3778-73-2,1-Jul-90,,,,,,,,
Iodine-131,developmental,SQE,10043-66-0,1-Jan-89,,,,,,,,
Imazalil,cancer,AB,35554-44-0,20-May-11,11,,,,,,,
"Indeno[1,2,3-cd]pyrene",cancer,SQE,193-39-5,1-Jan-88,,,,,,,,
Indium phosphide,cancer ,AB,22398-80-7,27-Feb-01,,,,,,,,
"IQ (2-Amino-3-methylimidazo[4,5-f] quinoline) ",cancer,AB,76180-96-6,1-Apr-90,0.5,,,,,,,
Iprodione,cancer,AB,36734-19-7,1-May-96,,,,,,,,
Iprovalicarb,cancer ,AB,140923-17-7/ 140923-25-7,1-Jun-07,,,,,,,,
Iron dextran complex,cancer,SQE,9004-66-4,1-Jan-88,,,,,,,,
Isobutyl nitrite,cancer,AB,542-56-3,1-May-96,7.4,,,,,,,
Isoprene,cancer,AB,78-79-5,1-May-96,,,,,,,,
Isopyrazam,cancer,AB,881685-58-1,24-Jul-12,,,,,,,,
"Isosafrole Delisted December 8, 2006 [Click here for the basis for delisting]",cancer,LC    ,120-58-1,1-Oct-89,,,,,,,,
Isotretinoin ,developmental,SQE,4759-48-2,1-Jul-87,,,,,,,,
Isoxaflutole,cancer,AB,141112-29-0,22-Dec-00,,,,,,,,
,,,,,,,,,,,,
Kresoxim-methyl,cancer,AB,143390-89-0,3-Feb-12,,,,,,,,
,,,,,,,,,,,,
Lactofen,cancer,SQE,77501-63-4,1-Jan-89,,,,,,,,
Lasiocarpine,cancer,SQE,303-34-4,1-Apr-88,0.09,,,,,,,
"Lead [Basis for listing changed effective November 22, 2013]","developmental, female, male",FR,---,27-Feb-87,0.5,,,,,,,
Lead and lead compounds,cancer,AB,---,1-Oct-92,,,,,,,,
   Lead,,,,,15 (oral),,,,,,,
Lead acetate,cancer,SQE,301-04-2,1-Jan-88,23 (oral),,,,,,,
Lead phosphate,cancer,SQE,7446-27-7,1-Apr-88,58 (oral),,,,,,,
Lead subacetate,cancer,LC,1335-32-6,1-Oct-89,41 (oral),,,,,,,
Leather dust,cancer,LC, ---,29-Apr-11,,,,,,,,
Leuprolide acetate,"developmental, female, male ",FR,74381-53-6,26-Aug-97,,,,,,,,
Levodopa,developmental ,FR,59-92-7,29-Jan-99,,,,,,,,
Levonorgestrel implants,female ,FR,797-63-7,15-May-98,,,,,,,,
Lindane and other hexachlorocyclohexane isomers,cancer,LC,---,1-Oct-89,,,,,,,,
Linuron,developmental ,AB,330-55-2,19-Mar-99,460,,,,,,,
Lithium carbonate,developmental,FR,554-13-2,1-Jan-91,,,,,,,,
Lithium citrate,developmental,FR,919-16-4,1-Jan-91,,,,,,,,
Lorazepam,developmental,FR,846-49-1,1-Jul-90,,,,,,,,
Lovastatin,developmental,FR,75330-75-5,1-Oct-92,,,,,,,,
Lynestrenol,cancer ,AB,52-76-6,27-Feb-01,,,,,,,,
,,,,,,,,,,,,
Malathion,cancer,LC,121-75-5,20-May-16,180,,,,,,,
"Malonaldehyde, sodium salt",cancer,AB,24382-04-5,3-May-11,,,,,,,,
Mancozeb,cancer,AB,8018-01-7,1-Jan-90,,,,,,,,
Maneb,cancer,AB,12427-38-2,1-Jan-90,,,,,,,,
Marijuana smoke,cancer,SQE,---,19-Jun-09,,,,,,,,
"Me-A-alpha-C (2-Amino-3-methyl-9H-pyrido[2,3-b]indole)",cancer,AB,68006-83-7,1-Jan-90,0.6,,,,,,,
