,Gene,HGNC Gene ID,Disease,MONDO Disease ID,SOP,Classification,Report Reference URL,Report Date,Status,Definitive,Gene QID,Disease QID
207,EPS8,HGNC:3420,autosomal recessive nonsyndromic deafness,MONDO_0019588,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/9546,2017-04-26T00:00:00,error,no,Q17916979,absent
208,EPS8L2,HGNC:21296,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/e0022ad7-8497-4139-94a7-2546ba482c88--2017-11-21T17:00:00,2017-11-21T17:00:00.000Z,error,no,Q18045758,Q9079046
209,ERCC2,HGNC:3434,xeroderma pigmentosum group D,MONDO_0010212,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/91d0c244-d958-4358-8b92-cefefbce3843--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q14908096,Q32143733
210,ERCC3,HGNC:3435,xeroderma pigmentosum group B,MONDO_0012531,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/bf09deab-9612-4b13-8bb7-4c2a25dde868--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q14916136,Q32143803
211,ERCC4,HGNC:3436,xeroderma pigmentosum group F,MONDO_0010215,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/89544dc5-2d3b-4b7f-b835-3fec714bf7a5--2019-08-14T19:44:06,2019-08-14T19:44:06.189Z,complete,yes,Q17917469,Q32143775
212,ERCC5,HGNC:3437,xeroderma pigmentosum group G,MONDO_0010216,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/fc08c954-8ded-449b-8f67-e4f044b26cda--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q17917470,Q32143789
213,ESPN,HGNC:13281,nonsyndromic genetic deafness,MONDO_0019497,SOP5,Limited,https://search.clinicalgenome.org/kb/gene-validity/9bdbd958-1ad2-447a-9ccd-ed86f308577a--2018-09-20T20:03:22,2018-09-20T20:03:22.775Z,error,no,Q18047246,Q9079046
214,ESPN,HGNC:13281,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/7c63a581-ad69-4f18-b68b-d1b2cef5e699--2018-02-27T17:00:00,2018-02-27T17:00:00.000Z,complete,yes,Q18047246,Q9079046
215,ESRRB,HGNC:3473,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/03c875bb-70aa-4652-a7f2-35df1065165b--2018-04-24T16:00:00,2018-04-24T16:00:00.000Z,complete,yes,Q5401842,Q9079046
216,ETFA,HGNC:3481,multiple acyl-CoA dehydrogenase deficiency,MONDO_0009282,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/3d6848e7-6e9e-4545-9f97-69480face058--2018-05-22T16:00:00,2018-05-22T16:00:00.000Z,complete,yes,Q17917639,Q1403045
217,ETFB,HGNC:3482,multiple acyl-CoA dehydrogenase deficiency,MONDO_0009282,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/d9a8d844-c82a-4258-bd48-10e2d977273e--2018-06-12T16:00:00,2018-06-12T16:00:00.000Z,error,no,Q17917640,Q1403045
218,ETFDH,HGNC:3483,multiple acyl-CoA dehydrogenase deficiency,MONDO_0009282,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/062e336e-cfda-45f7-b509-cd44a5079034--2018-05-22T16:00:00,2018-05-22T16:00:00.000Z,complete,yes,Q1161264,Q1403045
219,ETHE1,HGNC:23287,Leigh syndrome,MONDO_0009723,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d29d908d-ea85-4eb4-a6a5-400c95511c9a--2019-04-08T16:17:59,2019-04-08T16:17:59.443Z,error,yes,Q18037204,absent
220,EVC,HGNC:3497,Ellis-van Creveld syndrome,MONDO_0009162,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9591,2018-02-06T08:00:00,complete,yes,Q17917650,Q1332448
221,EVC2,HGNC:19747,Ellis-van Creveld syndrome,MONDO_0009162,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9592,2018-02-06T08:00:00,complete,yes,Q18050450,Q1332448
222,EXO1,HGNC:3511,hereditary nonpolyposis colon cancer,MONDO_0018630,SOP4,Disputed,https://search.clinicalgenome.org/kb/gene-validity/8432,2017-06-08T00:00:00,error,no,Q18033878,Q783644
223,EXT1,HGNC:3512,"exostoses, multiple, type 1",MONDO_0007585,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/0ced1387-c0a8-4f03-bd70-1595cb7683fd--2018-06-04T19:20:29,2018-06-04T19:20:29.946Z,complete,yes,Q17917694,Q55950215
224,EXT2,HGNC:3513,"exostoses, multiple, type 2",MONDO_0007586,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9e6829ce-3e0b-44c5-a214-756f33b1e948--2018-12-21T15:31:26,2018-12-21T15:31:26.680Z,complete,yes,Q17917699,Q55950216
225,EYA1,HGNC:3519,branchio-oto-renal syndrome,MONDO_0007029,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/dca41ef6-ee63-4b1f-93d3-8b114dafcc58--2018-08-30T14:48:02,2018-08-30T14:48:02.507Z,complete,yes,Q17917742,Q2280106
226,EYA4,HGNC:3522,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/21c75059-bd7b-48ef-a828-28ffebe52ca0--2018-01-05T17:00:00,2018-01-05T17:00:00.000Z,complete,yes,Q17917387,Q9079046
227,F5,HGNC:3542,thrombophilia due to activated protein C resistance,MONDO_0008560,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/ab28e09c-08ff-4149-a536-3cdb9cc4099f--2019-09-30T16:00:00,2019-09-30T16:00:00.000Z,complete,yes,Q14865116,Q296104
228,F7,HGNC:3544,factor VII deficiency,MONDO_0002244,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/43fb4e99-e97a-4d9c-af11-79c2b09ecd2e--2019-07-24T16:00:00,2019-07-24T16:00:00.000Z,error,yes,Q14864641,absent
229,F8,HGNC:3546,hemophilia A,MONDO_0010602,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d4578f11-b635-45f4-8034-310fca5fe960--2019-07-24T16:00:00,2019-07-24T16:00:00.000Z,error,yes,Q14863039,absent
230,F9,HGNC:3551,hemophilia B,MONDO_0010604,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/3d56d08d-48d0-4523-b433-dbd44c5b9e45--2019-05-22T19:02:26,2019-05-22T19:02:26.728Z,error,yes,Q3064159,absent
231,FAH,HGNC:3579,tyrosinemia type I,MONDO_0010161,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/39c50699-f422-4bae-89ac-af13ef7cb8cc--2019-03-08T17:00:00,2019-03-08T17:00:00.000Z,error,yes,Q20969930,absent
232,FAN1,HGNC:29170,hereditary nonpolyposis colon cancer,MONDO_0018630,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/9863,2017-10-23T00:00:00,error,no,Q18036586,Q783644
233,FANCA,HGNC:3582,Fanconi anemia complementation group A,MONDO_0009215,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/ceecf6ee-6700-40e5-a0d3-f7891805daac--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,error,yes,Q17927056,absent
234,FANCC,HGNC:3584,Fanconi anemia complementation group C,MONDO_0009213,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/cf4881c3-15b3-4e10-bd24-2da80433863b--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q18250517,Q32146953
235,FANCG,HGNC:3588,Fanconi anemia complementation group G,MONDO_0013565,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/1913bd10-1355-4067-93b6-9068924d77df--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q17927524,Q32146937
236,FBN1,HGNC:3603,familial thoracic aortic aneurysm and aortic dissection,MONDO_0019625,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/8251,2017-01-23T00:00:00,error,yes,Q17927651,absent
237,FBN1,HGNC:3603,Marfan syndrome,MONDO_0007947,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d3fc0bea-4d6e-449e-885c-b204e6a0b2bf--2019-03-04T17:00:00,2019-03-04T17:00:00.000Z,error,yes,Q17927651,absent
238,FBN2,HGNC:3604,familial thoracic aortic aneurysm and aortic dissection,MONDO_0019625,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8268,2016-12-22T00:00:00,error,no,Q17927680,absent
239,FERMT3,HGNC:23151,leukocyte adhesion deficiency 3,MONDO_0013016,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/df792161-5efb-45f7-91ed-5fe76045fa06--2019-08-28T16:00:00,2019-08-28T16:00:00.000Z,error,yes,Q18047244,absent
240,FGD1,HGNC:3663,"Aarskog-Scott syndrome, X-linked",MONDO_0010589,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9513,2017-12-06T00:00:00,complete,yes,Q15311768,Q303123
241,FGF3,HGNC:3681,"deafness with labyrinthine aplasia, microtia, and microdontia",MONDO_0012541,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/5ca11e8c-6703-4be5-a8c2-82e6dcc865e4--2019-05-21T16:00:00,2019-05-21T16:00:00.000Z,complete,yes,Q14889529,Q55783760
242,FGFR3,HGNC:3690,achondroplasia,MONDO_0007037,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/3221,2016-12-01T00:00:00,error,yes,Q14914358,absent
243,FH,HGNC:3700,hereditary pheochromocytoma-paraganglioma,MONDO_0017366,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/8362,2017-06-22T00:00:00,error,no,Q418634,Q56013982
244,FLAD1,HGNC:24671,myopathy with abnormal lipid metabolism,MONDO_0009703,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/769764bf-09c5-4a7d-8501-5fcf154fcdda--2018-06-12T16:00:00,2018-06-12T16:00:00.000Z,error,no,Q18046691,Q55782129
245,FLCN,HGNC:27310,Birt-Hogg-Dube syndrome,MONDO_0007607,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/c96620e8-f9c9-41a0-a979-31fb9928abb6--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q18053203,Q2532540
246,FLNA,HGNC:3754,familial thoracic aortic aneurysm and aortic dissection,MONDO_0019625,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8274,2016-12-22T00:00:00,error,no,Q17928815,absent
247,FLNC,HGNC:3756,myofibrillar myopathy 5,MONDO_0012289,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/10057,2017-12-12T16:00:00,complete,yes,Q17928825,Q21505523
248,FMR1,HGNC:3775,fragile X syndrome,MONDO_0010383,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/e491d278-7123-434c-8de3-46e16afb4037--2019-06-03T16:00:00,2019-06-03T16:00:00.000Z,error,yes,Q14882338,absent
249,FOLR1,HGNC:3791,neurodegenerative syndrome due to cerebral folate transport deficiency,MONDO_0013110,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/22c12588-dc55-4e90-827a-d7a6349e38a9--2018-04-27T16:49:24,2018-04-27T16:49:24.579Z,complete,yes,Q17928985,Q55345829
250,FOXE3,HGNC:3808,familial thoracic aortic aneurysm and aortic dissection,MONDO_0019625,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/8261,2016-06-15T00:00:00,error,no,Q17928751,absent
251,FOXG1,HGNC:3811,FOXG1 disorder,MONDO_0100040,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/3f14c6c5-b051-4c94-b9c6-3b80771eed22--2018-07-02T14:08:27,2018-07-02T14:08:27.839Z,error,yes,Q17928632,absent
252,FOXI1,HGNC:3815,enlarged vestibular aqueduct syndrome,MONDO_0023069,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/d3a6b8fa-01d1-4f32-a45e-9c9582e14280--2018-09-10T19:47:01,2018-09-10T19:47:01.454Z,error,no,Q17928744,Q2241556
253,FOXI1,HGNC:3815,syndromic genetic deafness,MONDO_0019589,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/0bb41557-8ccc-4084-b4b0-d4ede42d8f36--2018-02-27T05:00:00,2018-02-27T05:00:00.000Z,error,no,Q17928744,Q55788734
254,FOXP1,HGNC:3823,intellectual disability-severe speech delay-mild dysmorphism syndrome,MONDO_0013352,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/db1c240c-7ffb-4a95-92ad-da9e8af2adc6--2019-05-09T16:27:56,2019-05-09T16:27:56.956Z,complete,yes,Q15318896,Q55784026
255,FOXP2,HGNC:13875,specific language disorder,MONDO_0016226,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/b13348d1-1248-4507-aa29-60559e6b410e--2019-05-21T16:00:00,2019-05-21T16:00:00.000Z,error,yes,Q14820071,absent
256,FOXRED1,HGNC:26927,Leigh syndrome,MONDO_0009723,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/c74ba0cb-ccef-4a19-9fef-ef9996f72290--2019-10-16T14:34:53,2019-10-16T14:34:53.574Z,error,no,Q18041867,absent
257,FTSJ1,HGNC:13254,non-syndromic X-linked intellectual disability,MONDO_0019181,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/9515,2018-01-17T00:00:00,error,no,Q18037659,absent
258,FXN,HGNC:3951,Friedreich ataxia,MONDO_0009245,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/10058,2017-12-22T12:00:00,complete,yes,Q14907844,Q913856
259,GAA,HGNC:4065,glycogen storage disease II,MONDO_0009290,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/0554320e-6a8f-4c39-be7f-99959a8341ee--2019-01-23T17:00:00,2019-01-23T17:00:00.000Z,complete,yes,Q14902475,Q1365789
260,GABRA1,HGNC:4075,developmental and epileptic encephalopathy,MONDO_0100062,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/60478d36-384e-4246-ba8a-730755d6f216--2019-05-21T16:00:00,2019-05-21T16:00:00.000Z,error,yes,Q18025042,absent
261,GABRB3,HGNC:4083,developmental and epileptic encephalopathy,MONDO_0100062,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/a9327dac-6f76-4881-8a23-ef2b210f92e7--2019-02-05T17:00:00,2019-02-05T17:00:00.000Z,error,yes,Q18025122,absent
262,GALNT12,HGNC:19877,"colorectal cancer, susceptibility to, 1",MONDO_0012132,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8435,2017-06-08T00:00:00,error,no,Q18046275,Q55783609
263,GAMT,HGNC:4136,guanidinoacetate methyltransferase deficiency,MONDO_0012999,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/f0a84d45-57f8-4763-b1c5-7a283cef5f71--2019-01-25T17:00:00,2019-01-25T17:00:00.000Z,complete,yes,Q15335907,Q5613758
264,GATA2,HGNC:4171,GATA2 deficiency with susceptibility to MDS/AML,MONDO_0042982,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/7c0449f7-e20b-4610-95ad-896eee265492--2019-08-18T16:06:51,2019-08-18T16:06:51.841Z,error,yes,Q18025461,absent
265,GATA3,HGNC:4172,hypoparathyroidism-deafness-renal disease syndrome,MONDO_0007797,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/afb6e0d5-81a5-439a-a498-9edc8505a367--2019-06-18T16:00:00,2019-06-18T16:00:00.000Z,complete,yes,Q18025464,Q2027515
266,GATM,HGNC:4175,AGAT deficiency,MONDO_0012996,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d63bfeff-882d-400f-af17-277a702fd09b--2019-03-08T17:00:00,2019-03-08T17:00:00.000Z,complete,yes,Q18025492,Q18553418
267,GDI1,HGNC:4226,non-syndromic X-linked intellectual disability,MONDO_0019181,SOP5,Moderate,https://search.clinicalgenome.org/kb/gene-validity/8afc42b0-6c5e-460b-87d1-035c051fe7ca--2018-05-24T22:55:28,2018-05-24T22:55:28.461Z,error,no,Q18025723,absent
268,GDNF,HGNC:4232,hereditary pheochromocytoma-paraganglioma,MONDO_0017366,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8373,2017-07-22T00:00:00,error,no,Q14916286,Q56013982
269,GEN1,HGNC:26881,familial ovarian cancer,MONDO_0016248,SOP4,No Reported Evidence,https://search.clinicalgenome.org/kb/gene-validity/8692,2017-01-11T00:00:00,error,no,Q18055780,Q172341
270,GEN1,HGNC:26881,hereditary breast carcinoma,MONDO_0016419,SOP4,Disputed,https://search.clinicalgenome.org/kb/gene-validity/8691,2017-12-13T00:00:00,error,no,Q18055780,absent
271,GIPC3,HGNC:18183,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/e5feebe1-59a9-4e28-ad85-aec5cad6b54e--2017-08-22T16:00:00,2017-08-22T16:00:00.000Z,complete,yes,Q18049724,Q9079046
272,GJA1,HGNC:4274,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Disputed,https://search.clinicalgenome.org/kb/gene-validity/9e428d8c-42a2-430b-babd-8beceb26197e--2018-01-16T17:00:00,2018-01-16T17:00:00.000Z,error,no,Q15330556,Q9079046
273,GJB2,HGNC:4284,autosomal recessive nonsyndromic deafness,MONDO_0019588,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/8399,2017-03-02T00:00:00,error,yes,Q18025996,absent
274,GJB2,HGNC:4284,syndromic genetic deafness,MONDO_0019589,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9d7b8505-4def-4b99-a8a2-853c07e9969e--2018-06-26T16:00:00,2018-06-26T16:00:00.000Z,complete,yes,Q18025996,Q55788734
275,GJB3,HGNC:4285,nonsyndromic genetic deafness,MONDO_0019497,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/f83e013a-685f-405b-89d6-a8e80aefaf6e--2018-08-23T16:53:15,2018-08-23T16:53:15.195Z,error,no,Q18026007,Q9079046
276,GJB3,HGNC:4285,erythrokeratodermia variabilis,MONDO_0017851,SOP6,Strong,https://search.clinicalgenome.org/kb/gene-validity/1d48c959-31d8-44e2-985c-c48921e8f08a--2018-03-05T05:00:00,2018-03-05T05:00:00.000Z,error,no,Q18026007,absent
277,GJB6,HGNC:4288,nonsyndromic genetic deafness,MONDO_0019497,SOP5,Refuted,https://search.clinicalgenome.org/kb/gene-validity/f281869c-25e5-44ad-94e7-c7d6374755fd--2018-09-10T18:01:32,2018-09-10T18:01:32.444Z,error,no,Q18035847,Q9079046
278,GJB6,HGNC:4288,Clouston syndrome,MONDO_0007510,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/ff18d307-80a8-44b8-8b1a-e26e8a7d912a--2018-04-17T16:00:00,2018-04-17T16:00:00.000Z,complete,yes,Q18035847,Q5135822
279,GLA,HGNC:4296,Fabry disease,MONDO_0010526,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/eb4bb6f4-89de-4586-af6b-3f218b8cb4dc--2019-01-23T17:00:00,2019-01-23T17:00:00.000Z,complete,yes,Q14886374,Q615645
280,GLDC,HGNC:4313,glycine encephalopathy,MONDO_0011612,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/14d991f3-25f3-40c9-aacd-c1a008d9eaea--2018-12-12T17:00:00,2018-12-12T17:00:00.000Z,complete,yes,Q18026135,Q3053945
281,GLUL,HGNC:4341,congenital brain dysgenesis due to glutamine synthetase deficiency,MONDO_0012393,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/d71d7866-437d-48bd-8a98-21e67abdd917--2019-09-13T17:09:47,2019-09-13T17:09:47.008Z,error,no,Q18026178,Q55783719
282,GNAO1,HGNC:4389,early infantile epileptic encephalopathy,MONDO_0016021,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/b56856e2-8e6f-4f01-a6bd-1642fee71e5b--2018-12-18T17:00:00,2018-12-18T17:00:00.000Z,error,yes,Q18026233,absent
283,GNAO1,HGNC:4389,movement disorder,MONDO_0005395,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/418a5a18-3d0e-4cef-84b4-74c5accc0df1--2019-02-19T17:00:00,2019-02-19T17:00:00.000Z,error,yes,Q18026233,absent
284,GNMT,HGNC:4415,glycine N-methyltransferase deficiency,MONDO_0011698,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/cafb0200-f6cf-482d-9ffb-69ae7bc43669--2019-05-10T16:00:00,2019-05-10T16:00:00.000Z,error,no,Q18038724,Q32146351
285,GP6,HGNC:14388,platelet-type bleeding disorder 11,MONDO_0013623,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/76262cf5-f2cd-4466-b542-bf2334a96c73--2019-10-23T16:00:00,2019-10-23T16:00:00.000Z,complete,yes,Q14905651,Q32146625
286,GPD1L,HGNC:28956,Brugada syndrome 1,MONDO_0011001,SOP4,Disputed,https://search.clinicalgenome.org/kb/gene-validity/10149,false,error,no,Q5514164,Q27677682
287,GPSM2,HGNC:29501,Chudley-McCullough syndrome,MONDO_0011411,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/cd40cf49-a25c-450b-be6b-b80eef958f4c--2018-05-01T16:00:00,2018-05-01T16:00:00.000Z,complete,yes,Q18039682,Q9390217
288,GREM1,HGNC:2001,hereditary mixed polyposis syndrome,MONDO_0011023,SOP4,Strong,https://search.clinicalgenome.org/kb/gene-validity/8444,2016-10-11T00:00:00,error,no,Q18038310,Q55783045
289,GRHL2,HGNC:2799,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Strong,https://search.clinicalgenome.org/kb/gene-validity/a2ca9952-b611-4e6f-bbf8-aa5175248d01--2018-01-16T17:00:00,2018-01-16T17:00:00.000Z,error,no,Q18046508,Q9079046
290,GRIA3,HGNC:4573,X-linked syndromic intellectual disability,MONDO_0020119,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/25f94660-0a8d-4f3a-8f6c-dde1b38a8ab7--2019-09-09T17:33:42,2019-09-09T17:33:42.692Z,error,no,Q15320180,Q8041560
291,GRIA3,HGNC:4573,X-linked syndromic intellectual disability,MONDO_0020119,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/25f94660-0a8d-4f3a-8f6c-dde1b38a8ab7--2017-10-20T16:00:00,2017-10-20T16:00:00.000Z,error,no,Q15320180,Q8041560
292,GRIN1,HGNC:4584,complex neurodevelopmental disorder,MONDO_0100038,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/b98e5df5-8f39-4fd6-9715-bb8da7dc1806--2018-11-20T05:00:00,2018-11-20T05:00:00.000Z,error,yes,Q18026512,absent
293,GRIN1,HGNC:4584,complex neurodevelopmental disorder,MONDO_0100038,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/22693f82-fde1-4123-9cfb-6ec27e0c1ac6--2019-03-07T17:00:00,2019-03-07T17:00:00.000Z,error,no,Q18026512,absent
294,GRIN2A,HGNC:4585,complex neurodevelopmental disorder,MONDO_0100038,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/0c405372-b99b-42fc-836d-65d7c0cbd279--2019-07-16T16:00:00,2019-07-16T16:00:00.000Z,error,yes,Q18026515,absent
295,GRIN2D,HGNC:4588,infantile epilepsy syndrome,MONDO_0020071,SOP5,Limited,https://search.clinicalgenome.org/kb/gene-validity/a52befb3-e9e0-46f1-9abf-8ead03151230--2018-07-06T12:34:56,2018-07-06T12:34:56.418Z,error,no,Q18026524,Q18553413
296,GRXCR1,HGNC:31673,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/4becaf23-4b72-4dd1-a5aa-4deccbb394ea--2018-04-24T04:00:00,2018-04-24T04:00:00.000Z,complete,yes,Q18056631,Q9079046
297,GRXCR2,HGNC:33862,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/207f12b7-3148-4a8f-88f8-f78ac5bb294c--2019-01-07T17:00:00,2019-01-07T17:00:00.000Z,error,no,Q18059543,Q9079046
298,GSDME,HGNC:2810,autosomal dominant nonsyndromic deafness,MONDO_0019587,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9b0a844b-f968-48e0-8940-35584eb3454b--2018-07-19T18:55:13,2018-07-19T18:55:13.195Z,error,yes,Q17913980,absent
299,GSS,HGNC:4624,inherited glutathione synthetase deficiency,MONDO_0017909,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/69a8e645-0e10-4ea9-8545-212ce9b0dcbf--2019-04-26T16:49:38,2019-04-26T16:49:38.731Z,error,yes,Q18015278,absent
300,GSTZ1,HGNC:4643,maleylacetoacetate isomerase deficiency,MONDO_0060527,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/8c287e0b-88be-4fbb-82a6-a8c70d430506--2019-03-22T16:00:00,2019-03-22T16:00:00.000Z,error,no,Q18026605,absent
301,HADH,HGNC:4799,hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency,MONDO_0009278,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/c2f238b9-4eb5-426c-a27a-ecb7b468d9e4--2018-06-26T16:00:00,2018-06-26T16:00:00.000Z,error,yes,Q18026785,absent
302,HADHA,HGNC:4801,long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,MONDO_0012173,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/c8a5e15b-21f7-49cc-987c-5f3585742bbe--2018-02-12T17:00:00,2018-02-12T17:00:00.000Z,error,yes,Q1145906,absent
303,HADHB,HGNC:4803,mitochondrial trifunctional protein deficiency,MONDO_0012172,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/65cb0124-8476-422c-924f-15fac7c95592--2018-05-08T16:00:00,2018-05-08T16:00:00.000Z,error,yes,Q14912985,absent
304,HARS,HGNC:4816,Usher syndrome type 3,MONDO_0016485,SOP5,Refuted,https://search.clinicalgenome.org/kb/gene-validity/ca3372fa-f205-44e5-8bd9-6c64c40ebd93--2018-05-24T19:57:34,2018-05-24T19:57:34.534Z,error,no,Q18026787,absent
305,HARS2,HGNC:4817,Perrault syndrome 2,MONDO_0013972,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/5c5ed5f6-4068-4e15-a195-6098e4ee2093--2018-05-15T16:00:00,2018-05-15T16:00:00.000Z,error,no,Q18037182,absent
306,HCN4,HGNC:16882,familial thoracic aortic aneurysm and aortic dissection,MONDO_0019625,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8262,2016-12-22T00:00:00,error,no,Q18034961,absent
307,HCN4,HGNC:16882,Brugada syndrome 1,MONDO_0011001,SOP4,Disputed,https://search.clinicalgenome.org/kb/gene-validity/10150,false,error,no,Q18034961,Q27677682
308,HDAC8,HGNC:13315,Cornelia de Lange syndrome,MONDO_0016033,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/a7d29159-4c90-488e-a4e1-b006d70ae762--2018-09-11T14:25:39,2018-09-11T14:25:39.606Z,complete,yes,Q18042128,Q1133289
