	raw_drug_name	source_name	drug_UMLS_CUI	drug_ChEBI_ID	drug_cas#	predicate_raw	predicate_aggregate	predicate_string	indication_raw_string	umls_phen_cui	umls_phen_PT	drug_cas_wdid	drug_chebi_wdid	drug_cui_wdid	phen_cui_wdid
8632	Cefotaxime	NDFRT	C0007554	204928.0	63527-52-6	may_treat			Meningitis, Bacterial	C0085437	Meningitis, Bacterial	Q417968	Q417968	Q417968	Q3678510
8633	Cefotaxime	NDFRT	C0007554	204928.0	63527-52-6	may_treat			Peritonitis	C0031154	Peritonitis	Q417968	Q417968	Q417968	Q223102
8634	Cefotaxime	NDFRT	C0007554	204928.0	63527-52-6	may_treat			Pneumonia, Bacterial	C0004626	Pneumonia, Bacterial	Q417968	Q417968	Q417968	Q3776920
8641	Cefotaxime	NDFRT	C0007554	204928.0	63527-52-6	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q417968	Q417968	Q417968	Q34879
8642	Cefotaxime	NDFRT	C0007554	204928.0	63527-52-6	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q417968	Q417968	Q417968	Q11564537
8643	Cefotaxime	NDFRT	C0007554	204928.0	63527-52-6	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q417968	Q417968	Q417968	Q55779861
8667	Cefoxitin	NDFRT	C0007557	209807.0	35607-66-0	may_treat			Abscess	C0000833	Abscess	Q2353907	Q2353907	Q2353907	Q164655
8670	Cefoxitin	NDFRT	C0007557	209807.0	35607-66-0	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q2353907	Q2353907	Q2353907	Q18975220
8674	Cefoxitin	NDFRT	C0007557	209807.0	35607-66-0	may_treat			Peritonitis	C0031154	Peritonitis	Q2353907	Q2353907	Q2353907	Q223102
8678	Cefoxitin	NDFRT	C0007557	209807.0	35607-66-0	may_treat			Septicemia	C0036690	Septicemia	Q2353907	Q2353907	Q2353907	Q183134
8681	Cefoxitin	NDFRT	C0007557	209807.0	35607-66-0	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q2353907	Q2353907	Q2353907	Q34879
8682	Cefoxitin	NDFRT	C0007557	209807.0	35607-66-0	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q2353907	Q2353907	Q2353907	Q11564537
8684	Cefoxitin	NDFRT	C0007557	209807.0	35607-66-0	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q2353907	Q2353907	Q2353907	Q55779861
8704	Ceftazidime	NDFRT	C0007559	3508.0	72558-82-8	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q808845	Q808845	Q808845	Q18975220
8705	Ceftazidime	NDFRT	C0007559	3508.0	72558-82-8	may_treat			Fever	C0015967	Fever	Q808845	Q808845	Q808845	Q38933
8708	Ceftazidime	NDFRT	C0007559	3508.0	72558-82-8	may_treat			Meningitis, Bacterial	C0085437	Meningitis, Bacterial	Q808845	Q808845	Q808845	Q3678510
8709	Ceftazidime	NDFRT	C0007559	3508.0	72558-82-8	may_treat			Neutropenia	C0027947	Neutropenia	Q808845	Q808845	Q808845	Q1435822
8710	Ceftazidime	NDFRT	C0007559	3508.0	72558-82-8	may_treat			Pneumonia, Bacterial	C0004626	Pneumonia, Bacterial	Q808845	Q808845	Q808845	Q3776920
8717	Ceftazidime	NDFRT	C0007559	3508.0	72558-82-8	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q808845	Q808845	Q808845	Q34879
8718	Ceftazidime	NDFRT	C0007559	3508.0	72558-82-8	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q808845	Q808845	Q808845	Q11564537
8719	Ceftazidime	NDFRT	C0007559	3508.0	72558-82-8	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q808845	Q808845	Q808845	Q55779861
8723	ceftibuten	NDFRT	C0055014	3510.0	97519-39-6	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q419521	Q419521	Q419521	Q18975220
8726	ceftibuten	NDFRT	C0055014	3510.0	97519-39-6	may_treat			Otitis Media	C0029882	Otitis Media	Q419521	Q419521	Q419521	Q223254
8728	ceftibuten	NDFRT	C0055014	3510.0	97519-39-6	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q419521	Q419521	Q419521	Q11564537
8729	ceftibuten	NDFRT	C0055014	3510.0	97519-39-6	may_treat			Tonsillitis	C0040425	Tonsillitis	Q419521	Q419521	Q419521	Q186470
8735	Ceftizoxime	NDFRT	C0007560	553473.0	68401-81-0	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q1082945	Q1082945	Q1082945	Q18975220
8737	Ceftizoxime	NDFRT	C0007560	553473.0	68401-81-0	may_treat			Gonorrhea	C0018081	Gonorrhea	Q1082945	Q1082945	Q1082945	Q101896
8740	Ceftizoxime	NDFRT	C0007560	553473.0	68401-81-0	may_treat			Pneumonia, Bacterial	C0004626	Pneumonia, Bacterial	Q1082945	Q1082945	Q1082945	Q3776920
8746	Ceftizoxime	NDFRT	C0007560	553473.0	68401-81-0	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q1082945	Q1082945	Q1082945	Q34879
8747	Ceftizoxime	NDFRT	C0007560	553473.0	68401-81-0	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q1082945	Q1082945	Q1082945	Q11564537
8748	Ceftizoxime	NDFRT	C0007560	553473.0	68401-81-0	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q1082945	Q1082945	Q1082945	Q55779861
8754	Ceftriaxone	NDFRT	C0007561	29007.0	73384-59-5	may_treat			Epididymitis	C0014534	Epididymitis	Q421713	Q421713	Q421713	Q1344812
8755	Ceftriaxone	NDFRT	C0007561	29007.0	73384-59-5	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q421713	Q421713	Q421713	Q18975220
8757	Ceftriaxone	NDFRT	C0007561	29007.0	73384-59-5	may_treat			Gonorrhea	C0018081	Gonorrhea	Q421713	Q421713	Q421713	Q101896
8760	Ceftriaxone	NDFRT	C0007561	29007.0	73384-59-5	may_treat			Meningitis, Bacterial	C0085437	Meningitis, Bacterial	Q421713	Q421713	Q421713	Q3678510
8761	Ceftriaxone	NDFRT	C0007561	29007.0	73384-59-5	may_treat			Otitis Media	C0029882	Otitis Media	Q421713	Q421713	Q421713	Q223254
8762	Ceftriaxone	NDFRT	C0007561	29007.0	73384-59-5	may_treat			Peritonitis	C0031154	Peritonitis	Q421713	Q421713	Q421713	Q223102
8763	Ceftriaxone	NDFRT	C0007561	29007.0	73384-59-5	may_treat			Pneumonia, Bacterial	C0004626	Pneumonia, Bacterial	Q421713	Q421713	Q421713	Q3776920
8764	Ceftriaxone	NDFRT	C0007561	29007.0	73384-59-5	may_treat			Proctocolitis	C0033247	Proctocolitis	Q421713	Q421713	Q421713	Q7247500
8770	Ceftriaxone	NDFRT	C0007561	29007.0	73384-59-5	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q421713	Q421713	Q421713	Q34879
8771	Ceftriaxone	NDFRT	C0007561	29007.0	73384-59-5	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q421713	Q421713	Q421713	Q11564537
8772	Ceftriaxone	NDFRT	C0007561	29007.0	73384-59-5	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q421713	Q421713	Q421713	Q55779861
8775	Cefuroxime	NDFRT	C0007562	3515.0	55268-75-2	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q413728	Q413728	Q413728	Q18975220
8776	Cefuroxime	NDFRT	C0007562	3515.0	55268-75-2	may_treat			Gonorrhea	C0018081	Gonorrhea	Q413728	Q413728	Q413728	Q101896
8778	Cefuroxime	NDFRT	C0007562	3515.0	55268-75-2	may_treat			Impetigo	C0021099	Impetigo	Q413728	Q413728	Q413728	Q28971
8782	Cefuroxime	NDFRT	C0007562	3515.0	55268-75-2	may_treat			Pneumonia, Bacterial	C0004626	Pneumonia, Bacterial	Q413728	Q413728	Q413728	Q3776920
8784	Cefuroxime	NDFRT	C0007562	3515.0	55268-75-2	may_treat			Sinusitis	C0037199	Sinusitis	Q413728	Q413728	Q413728	Q183344
8787	Cefuroxime	NDFRT	C0007562	3515.0	55268-75-2	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q413728	Q413728	Q413728	Q55779861
8798	celecoxib	NDFRT	C0538927	41423.0	169590-42-5	may_treat			Adenomatous Polyposis Coli	C0032580	Adenomatous Polyposis Coli	Q408801	Q408801	Q408801	Q1369011
8799	celecoxib	NDFRT	C0538927	41423.0	169590-42-5	may_treat			Arthritis, Rheumatoid	C0003873	Rheumatoid Arthritis	Q408801	Q408801	Q408801	Q187255
8800	celecoxib	NDFRT	C0538927	41423.0	169590-42-5	may_treat			Dysmenorrhea	C0013390	Dysmenorrhea	Q408801	Q408801	Q408801	Q816422
8838	Cephalothin	NDFRT	C0007735	124991.0	153-61-7	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q2736126	Q2736126	Q2736126	Q18975220
8844	Cephalothin	NDFRT	C0007735	124991.0	153-61-7	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q2736126	Q2736126	Q2736126	Q34879
8845	Cephalothin	NDFRT	C0007735	124991.0	153-61-7	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q2736126	Q2736126	Q2736126	Q11564537
8846	Cephalothin	NDFRT	C0007735	124991.0	153-61-7	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q2736126	Q2736126	Q2736126	Q55779861
8849	Cephapirin	NDFRT	C0007737	554446.0	21593-23-7	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q549803	Q549803	Q549803	Q18975220
8855	Cephapirin	NDFRT	C0007737	554446.0	21593-23-7	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q549803	Q549803	Q549803	Q34879
8856	Cephapirin	NDFRT	C0007737	554446.0	21593-23-7	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q549803	Q549803	Q549803	Q11564537
8857	Cephapirin	NDFRT	C0007737	554446.0	21593-23-7	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q549803	Q549803	Q549803	Q55779861
8886	cerivastatin	NDFRT	C0528023	3558.0	145599-86-6	may_treat			Hypercholesterolemia	C0020443	Hypercholesterolemia	Q423439	Q423439	Q423439	Q762713
8911	Cetirizine	NDFRT	C0055147	3561.0	83881-51-0	may_treat			Rhinitis, Allergic, Perennial	C0035457	Rhinitis, Allergic, Perennial	Q423075	Q423075	Q423075	Q55136018
8952	Chlorambucil	NDFRT	C0008163	28830.0	305-03-3	may_treat			Choriocarcinoma	C0008497	Choriocarcinoma	Q415939	Q415939	Q415939	Q1076481
8954	Chlorambucil	NDFRT	C0008163	28830.0	305-03-3	may_treat			Leukemia, Lymphocytic, Chronic	C0023434	Chronic Lymphocytic Leukemia	Q415939	Q415939	Q415939	Q1088156
8957	Chlorambucil	NDFRT	C0008163	28830.0	305-03-3	may_treat			Testicular Neoplasms	C0039590	Testicular Neoplasms	Q415939	Q415939	Q415939	Q324464
8958	Chlorambucil	NDFRT	C0008163	28830.0	305-03-3	may_treat			Thrombocytosis	C0836924	Thrombocytosis	Q415939	Q415939	Q415939	Q1542410
8972	Chloramphenicol	NDFRT	C0008168	17698.0	56-75-7	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q274515	Q274515	Q274515	Q11564537
8990	Chlordiazepoxide	NDFRT	C0008188	3611.0	58-25-3	may_treat			Anxiety Disorders	C0003469	Anxiety Disorders	Q178566	Q178566	Q178566	Q544006
9006	Chlorhexidine	NDFRT	C0008196	3614.0	55-56-1	may_treat			Periodontal Diseases	C0031090	Periodontal Diseases	Q15646788	Q15646788	Q15646788	Q1059765
9007	Chlorhexidine	NDFRT	C0008196	3614.0	55-56-1	may_treat			Skin Diseases, Infectious	C0037278	Skin Diseases, Infectious	Q15646788	Q15646788	Q15646788	Q2458539
9029	Chlormezanone	NDFRT	C0008223	3619.0	80-77-3	may_treat			Anxiety Disorders	C0003469	Anxiety Disorders	Q5102983	Q5102983	Q5102983	Q544006
9030	Chlormezanone	NDFRT	C0008223	3619.0	80-77-3	may_treat			Muscle Spasticity	C0026838	Muscle Spasticity	Q5102983	Q5102983	Q5102983	Q117060
9050	CHLOROPROCAINE	NDFRT	C0055443	3636.0	133-16-4	may_prevent&treat			Pain	C0030193	Pain	Q2964133	Q2964133	Q2964133	Q81938
9061	Chloroquine	NDFRT	C0008269	3638.0	54-05-7	may_treat			Amebiasis	C0002438	Amebiasis	Q422438	Q422438	Q422438	Q949694
9062	Chloroquine	NDFRT	C0008269	3638.0	54-05-7	may_treat			Arthritis, Rheumatoid	C0003873	Rheumatoid Arthritis	Q422438	Q422438	Q422438	Q187255
9063	Chloroquine	NDFRT	C0008269	3638.0	54-05-7	may_treat			Lupus Erythematosus, Discoid	C0024138	Lupus Erythematosus, Discoid	Q422438	Q422438	Q422438	Q1228801
9066	Chloroquine	NDFRT	C0008269	3638.0	54-05-7	may_treat			Malaria, Falciparum	C0024535	Malaria, Falciparum	Q422438	Q422438	Q422438	Q18554672
9067	Chloroquine	NDFRT	C0008269	3638.0	54-05-7	may_treat			Pemphigus	C0030807	Pemphigus	Q422438	Q422438	Q422438	Q1483214
9083	Chlorothiazide	NDFRT	C0008273	3640.0	58-94-6	may_treat			Edema	C0013604	Edema	Q2603363	Q2603363	Q2603363	Q152234
9085	Chlorothiazide	NDFRT	C0008273	3640.0	58-94-6	may_treat			Hypertension	C0020538	Hypertensive Disease	Q2603363	Q2603363	Q2603363	Q41861
9086	Chlorothiazide	NDFRT	C0008273	3640.0	58-94-6	may_treat			Nephrotic Syndrome	C0027726	Nephrotic Syndrome	Q2603363	Q2603363	Q2603363	Q504790
9093	Chlorotrianisene	NDFRT	C0008275	3641.0	569-57-3	may_treat			Hypogonadism	C0020619	Hypogonadism	Q5103213	Q5103213	Q5103213	Q938107
9098	chloroxine	NDFRT	C0055461	59477.0	773-76-2	may_treat			Dermatitis, Seborrheic	C0036508	Seborrheic Dermatitis	Q12029435	Q12029435	Q12029435	Q448310
9099	chloroxine	NDFRT	C0055461	59477.0	773-76-2	may_treat			Scalp Dermatoses	C0036271	Scalp Dermatoses	Q12029435	Q12029435	Q12029435	Q18555302
9117	Chlorphenesin	NDFRT	C0008280	3642.0	104-29-0	may_treat			Muscle Cramp	C0026821	Muscle Cramp	Q5103226	Q5103226	Q5103226	Q2006818
9118	Chlorphenesin	NDFRT	C0008280	3642.0	104-29-0	may_treat			Muscle Rigidity	C0026837	Muscle Rigidity	Q5103226	Q5103226	Q5103226	Q21504918
9119	Chlorphenesin	NDFRT	C0008280	3642.0	104-29-0	may_treat			Myositis	C0027121	Myositis	Q5103226	Q5103226	Q5103226	Q1433212
9120	Chlorphenesin	NDFRT	C0008280	3642.0	104-29-0	may_treat			Pain	C0030193	Pain	Q5103226	Q5103226	Q5103226	Q81938
9121	Chlorphenesin	NDFRT	C0008280	3642.0	104-29-0	may_treat			Spasm	C0037763	Spasm	Q5103226	Q5103226	Q5103226	Q574360
9126	Chlorpheniramine	NDFRT	C0008281	52010.0	132-22-9	may_treat			Rhinitis, Allergic, Perennial	C0035457	Rhinitis, Allergic, Perennial	Q420133	Q420133	Q420133	Q55136018
9142	Chlorpromazine	DrugBank	C0008286	3647.0	50-53-3	treatment		126	For the treatment of schizophrenia, control nausea and vomiting, For relief of restlessness and apprehension before surgery, adjunct in the treatment of tetanus, control the manifestations of the manic type of manic-depressive illness.	C0036341	Schizophrenia	Q407972	Q407972	Q407972	Q41112
9148	Chlorpromazine	NDFRT	C0008286	3647.0	50-53-3	may_treat			Anxiety Disorders	C0003469	Anxiety Disorders	Q407972	Q407972	Q407972	Q544006
9151	Chlorpromazine	NDFRT	C0008286	3647.0	50-53-3	may_treat			Nausea	C0027497	Nausea	Q407972	Q407972	Q407972	Q186889
9153	Chlorpromazine	NDFRT	C0008286	3647.0	50-53-3	may_treat			Psychotic Disorders	C0033975	Psychotic Disorders	Q407972	Q407972	Q407972	Q170082
9154	Chlorpromazine	NDFRT	C0008286	3647.0	50-53-3	may_treat			Schizophrenia	C0036341	Schizophrenia	Q407972	Q407972	Q407972	Q41112
9155	Chlorpromazine	NDFRT	C0008286	3647.0	50-53-3	may_treat			Tetanus	C0039614	Tetanus	Q407972	Q407972	Q407972	Q47790
9156	Chlorpromazine	NDFRT	C0008286	3647.0	50-53-3	may_treat			Vomiting	C0042963	Vomiting	Q407972	Q407972	Q407972	Q127076
9186	Chlorthalidone	NDFRT	C0008294	3654.0	77-36-1	may_treat			Edema	C0013604	Edema	Q425289	Q425289	Q425289	Q152234
9188	Chlorthalidone	NDFRT	C0008294	3654.0	77-36-1	may_treat			Hypertension	C0020538	Hypertensive Disease	Q425289	Q425289	Q425289	Q41861
9189	Chlorthalidone	NDFRT	C0008294	3654.0	77-36-1	may_treat			Nephrotic Syndrome	C0027726	Nephrotic Syndrome	Q425289	Q425289	Q425289	Q504790
9195	Chlorzoxazone	NDFRT	C0008296	3655.0	95-25-0	may_treat			Muscle Cramp	C0026821	Muscle Cramp	Q3294630	Q3294630	Q3294630	Q2006818
9196	Chlorzoxazone	NDFRT	C0008296	3655.0	95-25-0	may_treat			Muscle Rigidity	C0026837	Muscle Rigidity	Q3294630	Q3294630	Q3294630	Q21504918
9197	Chlorzoxazone	NDFRT	C0008296	3655.0	95-25-0	may_treat			Myositis	C0027121	Myositis	Q3294630	Q3294630	Q3294630	Q1433212
9198	Chlorzoxazone	NDFRT	C0008296	3655.0	95-25-0	may_treat			Pain	C0030193	Pain	Q3294630	Q3294630	Q3294630	Q81938
9199	Chlorzoxazone	NDFRT	C0008296	3655.0	95-25-0	may_treat			Spasm	C0037763	Spasm	Q3294630	Q3294630	Q3294630	Q574360
9201	Cholecalciferol	NDFRT	C0008318	28940.0	67-97-0	may_treat			Cardiovascular Diseases	C0007222	Cardiovascular Diseases	Q139347	Q139347	Q139347	Q389735
9203	Cholecalciferol	NDFRT	C0008318	28940.0	67-97-0	may_treat			Kidney Failure, Chronic	C0022661	Kidney Failure, Chronic	Q139347	Q139347	Q139347	Q736715
9204	Cholecalciferol	NDFRT	C0008318	28940.0	67-97-0	may_treat			Lung Neoplasms	C0024121	Lung Neoplasms	Q139347	Q139347	Q139347	Q18556020
9206	Cholecalciferol	NDFRT	C0008318	28940.0	67-97-0	may_treat			Psoriasis	C0033860	Psoriasis	Q139347	Q139347	Q139347	Q179945
9207	Cholecalciferol	NDFRT	C0008318	28940.0	67-97-0	may_treat			Skin Neoplasms	C0037286	Skin Neoplasms	Q139347	Q139347	Q139347	Q18555315
9213	Choline	NDFRT	C0008405	15354.0	62-49-7	may_prevent&treat			Choline Deficiency	C0008412	Choline Deficiency	Q193166	Q193166	Q193166	Q18557946
9240	ciclopirox	NDFRT	C0055711	453011.0	29342-05-0	may_treat			Onychomycosis	C0040261	Onychomycosis	Q419468	Q419468	Q419468	Q917620
9241	ciclopirox	NDFRT	C0055711	453011.0	29342-05-0	may_treat			Tinea Pedis	C0040259	Tinea Pedis	Q419468	Q419468	Q419468	Q5609817
9242	ciclopirox	NDFRT	C0055711	453011.0	29342-05-0	may_treat			Tinea Versicolor	C0040262	Tinea Versicolor	Q419468	Q419468	Q419468	Q926462
9266	Cilastatin	NDFRT	C0008777	3697.0	82009-34-5	may_treat			Bacterial Infections	C0004623	Bacterial Infections	Q418201	Q418201	Q418201	Q727028
9301	cilostazol	NDFRT	C0055729	31401.0	73963-72-1	may_treat			Intermittent Claudication	C0021775	Intermittent Claudication	Q258591	Q258591	Q258591	Q1097957
9310	Cimetidine	NDFRT	C0008783	3699.0	51481-61-9	may_prevent&treat			Duodenal Ulcer	C0013295	Duodenal Ulcer	Q409492	Q409492	Q409492	Q18968110
9311	Cimetidine	NDFRT	C0008783	3699.0	51481-61-9	may_treat			Dyspepsia	C0013395	Dyspepsia	Q409492	Q409492	Q409492	Q653971
9313	Cimetidine	NDFRT	C0008783	3699.0	51481-61-9	may_treat			Gastroesophageal Reflux	C0017168	Gastroesophageal Reflux Disease	Q409492	Q409492	Q409492	Q223591
9317	Cimetidine	NDFRT	C0008783	3699.0	51481-61-9	may_prevent&treat			Stomach Ulcer	C0038358	Gastric Ulcer	Q409492	Q409492	Q409492	Q4003020
9319	Cimetidine	NDFRT	C0008783	3699.0	51481-61-9	may_treat			Zollinger-Ellison Syndrome	C0043515	Zollinger-Ellison Syndrome	Q409492	Q409492	Q409492	Q218712
9322	cinacalcet	USAN_TC	C1337242	48390.0	226256-56-0	treatment			treatment of hyperparathyroidism and related disorders, such as hypercalcemia (reduction of PTH secretion through modulation of calcium ion receptors on parathyroid cells)	C0020437	Hypercalcemia	Q193978	Q193978	Q193978	Q1474877
9323	cinacalcet	USAN_TC	C1337242	48390.0	226256-56-0	treatment			treatment of hyperparathyroidism and related disorders, such as hypercalcemia (reduction of PTH secretion through modulation of calcium ion receptors on parathyroid cells)	C0020502	Hyperparathyroidism	Q193978	Q193978	Q193978	Q1344835
9344	Cinoxacin	NDFRT	C0008806	3716.0	28657-80-9	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q1639588	Q1639588	Q1639588	Q55779861
9364	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Conjunctivitis, Bacterial	C0009768	Bacterial Conjunctivitis	Q256602	Q256602	Q256602	Q18558195
9365	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Cystitis	C0010692	Cystitis	Q256602	Q256602	Q256602	Q246084
9367	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q256602	Q256602	Q256602	Q18975220
9368	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Fever	C0015967	Fever	Q256602	Q256602	Q256602	Q38933
9369	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Gonorrhea	C0018081	Gonorrhea	Q256602	Q256602	Q256602	Q101896
9372	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Neutropenia	C0027947	Neutropenia	Q256602	Q256602	Q256602	Q1435822
9373	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Osteomyelitis	C0029443	Osteomyelitis	Q256602	Q256602	Q256602	Q938983
9374	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Prostatitis	C0033581	Prostatitis	Q256602	Q256602	Q256602	Q372752
9377	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Sinusitis	C0037199	Sinusitis	Q256602	Q256602	Q256602	Q183344
9379	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q256602	Q256602	Q256602	Q34879
9380	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Typhoid Fever	C0041466	Typhoid Fever	Q256602	Q256602	Q256602	Q83319
9381	Ciprofloxacin	NDFRT	C0008809	100241.0	85721-33-1	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q256602	Q256602	Q256602	Q55779861
9391	Cisapride	NDFRT	C0072916	3720.0	81098-60-4	may_treat			Constipation	C0009806	Constipation	Q425295	Q425295	Q425295	Q178436
9392	Cisapride	NDFRT	C0072916	3720.0	81098-60-4	may_treat			Dyspepsia	C0013395	Dyspepsia	Q425295	Q425295	Q425295	Q653971
9393	Cisapride	NDFRT	C0072916	3720.0	81098-60-4	may_treat			Gastroesophageal Reflux	C0017168	Gastroesophageal Reflux Disease	Q425295	Q425295	Q425295	Q223591
9394	Cisapride	NDFRT	C0072916	3720.0	81098-60-4	may_treat			Gastroparesis	C0152020	Gastroparesis	Q425295	Q425295	Q425295	Q943897
9449	Clarithromycin	NDFRT	C0055856	3732.0	81103-11-9	may_treat			Chlamydia Infections	C0008149	Chlamydia Infections	Q118551	Q118551	Q118551	Q153356
9450	Clarithromycin	NDFRT	C0055856	3732.0	81103-11-9	may_treat			Duodenal Ulcer	C0013295	Duodenal Ulcer	Q118551	Q118551	Q118551	Q18968110
9454	Clarithromycin	NDFRT	C0055856	3732.0	81103-11-9	may_prevent&treat			Mycobacterium Infections, Atypical	C0026919	Mycobacterium Infections, Nontuberculous	Q118551	Q118551	Q118551	Q11663754
9455	Clarithromycin	NDFRT	C0055856	3732.0	81103-11-9	may_treat			Otitis Media	C0029882	Otitis Media	Q118551	Q118551	Q118551	Q223254
9458	Clarithromycin	NDFRT	C0055856	3732.0	81103-11-9	may_treat			Sinusitis	C0037199	Sinusitis	Q118551	Q118551	Q118551	Q183344
9459	Clarithromycin	NDFRT	C0055856	3732.0	81103-11-9	may_treat			Skin Diseases, Infectious	C0037278	Skin Diseases, Infectious	Q118551	Q118551	Q118551	Q2458539
9460	Clarithromycin	NDFRT	C0055856	3732.0	81103-11-9	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q118551	Q118551	Q118551	Q34879
9461	Clarithromycin	NDFRT	C0055856	3732.0	81103-11-9	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q118551	Q118551	Q118551	Q11564537
9462	Clarithromycin	NDFRT	C0055856	3732.0	81103-11-9	may_treat			Tonsillitis	C0040425	Tonsillitis	Q118551	Q118551	Q118551	Q186470
9470	Clemastine	NDFRT	C0008929	3738.0	15686-51-8	may_treat			Rhinitis, Allergic, Perennial	C0035457	Rhinitis, Allergic, Perennial	Q418145	Q418145	Q418145	Q55136018
9506	Clioquinol	NDFRT	C0021978	74460.0	130-26-7	may_treat			Tinea Pedis	C0040259	Tinea Pedis	Q5134338	Q5134338	Q5134338	Q5609817
9514	Clobetasol	NDFRT	C0008992	205919.0	25122-41-2	may_treat			Dermatitis	C0011603	Dermatitis	Q4224007	Q4224007	Q4224007	Q229256
9515	Clobetasol	NDFRT	C0008992	205919.0	25122-41-2	may_treat			Facial Dermatoses	C0015456	Facial Dermatoses	Q4224007	Q4224007	Q4224007	Q18555301
9517	Clobetasol	NDFRT	C0008992	205919.0	25122-41-2	may_treat			Hand Dermatoses	C0018567	Hand Dermatoses	Q4224007	Q4224007	Q4224007	Q18555313
9518	Clobetasol	NDFRT	C0008992	205919.0	25122-41-2	may_treat			Inflammation	C0021368	Inflammation	Q4224007	Q4224007	Q4224007	Q101991
9519	Clobetasol	NDFRT	C0008992	205919.0	25122-41-2	may_treat			Leg Dermatoses	C0023219	Leg Dermatoses	Q4224007	Q4224007	Q4224007	Q18555307
9520	Clobetasol	NDFRT	C0008992	205919.0	25122-41-2	may_treat			Scalp Dermatoses	C0036271	Scalp Dermatoses	Q4224007	Q4224007	Q4224007	Q18555302
9556	Clofibrate	NDFRT	C0009002	3750.0	637-07-0	may_treat			Hypercholesterolemia	C0020443	Hypercholesterolemia	Q2701912	Q2701912	Q2701912	Q762713
9578	Clomipramine	NDFRT	C0009010	47780.0	303-49-1	may_treat			Depressive Disorder	C0011581	Depressive Disorder	Q58713	Q58713	Q58713	Q66793701
9579	Clomipramine	NDFRT	C0009010	47780.0	303-49-1	may_treat			Obsessive-Compulsive Disorder	C0028768	Obsessive-Compulsive Disorder	Q58713	Q58713	Q58713	Q178190
9580	Clomipramine	NDFRT	C0009010	47780.0	303-49-1	may_treat			Pain	C0030193	Pain	Q58713	Q58713	Q58713	Q81938
9581	Clomipramine	NDFRT	C0009010	47780.0	303-49-1	may_treat			Panic Disorder	C0030319	Panic Disorder	Q58713	Q58713	Q58713	Q741713
