,application_number,brand_name,generic_name,is_original_packager,manufacturer_name,nui,original_packager_product_ndc,package_ndc,pharm_class_cs,pharm_class_epc,pharm_class_moa,pharm_class_pe,product_ndc,product_type,route,rxcui,rxcui_brandname,rxcui_ingredient,spl_id,spl_set_id,substance_name,unii,upc
429,NDA021928,CHANTIX,VARENICLINE TARTRATE,[],REBEL DISTRIBUTORS CORP,[],['0069-0468'],['21695-633-56'],[],[],[],[],['21695-633'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['636671', '637188']",636230,591622,F990ECA6-FE6F-4423-A118-4B7B970995A1,F990ECA6-FE6F-4423-A118-4B7B970995A1,['VARENICLINE TARTRATE'],['82269ASB48'],[]
2548,NDA019998,CHEMET,SUCCIMER,[True],"RECORDATI RARE DISEASES, INC.","['N0000175963', 'N0000175962']",[],['55292-201-11'],[],['Lead Chelator [EPC]'],['Lead Chelating Activity [MoA]'],[],['55292-201'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['207949', '198227']",215984,3446,32FDBFAD-911D-55F6-E054-00144FF88E88,62035612-9505-3A3F-1AC8-E2DBD711D24E,['SUCCIMER'],['DX1U2629QE'],[]
344,ANDA091019,CHENODAL,CHENODIOL,[True],"RETROPHIN, INC.",[],[],['68974-876-40'],[],[],[],[],['68974-876'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['877417', '618469']",877414,42588,277566FC-6896-45E7-913D-B7A74291F07F,769E0A3B-826D-4FAF-9129-5EEB7EBE0B67,['CHENODIOL'],['0GEI24LG0J'],[]
4641,NDA021256,CHIRHOSTIM,HUMAN SECRETIN,[True],"CHIRHOCLIN, INC.",[],[],"['67066-007-01', '67066-005-01']",[],[],[],[],"['67066-005', '67066-007']",HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],"['727492', '727488', '727496', '727494']",727489,606396,54AF55CD-DE29-20F0-E054-00144FF88E88,B4DFE70F-0A86-4488-9BA1-DCD8F86CBFCD,['SECRETIN HUMAN'],['A0426J905J'],['0367066005012']
6113,ANDA072277,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HCL,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,[True],PAR PHARMACEUTICAL INC,"['N0000007542', 'N0000175694']",[],"['49884-265-01', '49884-266-01']",['Benzodiazepines [Chemical/Ingredient]'],['Benzodiazepine [EPC]'],[],[],"['49884-265', '49884-266']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['856769', '856792']",28727,214220,AA5D4728-5548-4DB0-8D36-4CD70950DABF,22D710EC-302A-4756-95E3-8EE7957586E4,"['AMITRIPTYLINE HYDROCHLORIDE', 'CHLORDIAZEPOXIDE']","['6RZ6XEZ3CR', '26LUD4JO9K']",['0349884265014']
16,ANDA077789,CHLORHEXIDINE GLUCONATE 0.12% ORAL RINSE,CHLORHEXIDINE GLUCONATE,[True],SAGE PRODUCTS LLC,[],[],['53462-003-15'],[],[],[],[],['53462-003'],HUMAN PRESCRIPTION DRUG,['BUCCAL'],['834127'],219169,20791,3C754532-D9A5-F876-00C4-05A4C9B21EFA,3C754532-D9A5-F876-00C4-05A4C9B21EFA,['CHLORHEXIDINE GLUCONATE'],['MOR84MUD8E'],['0353462003158']
2766,ANDA090896,CHLOROTHIAZIDE,CHLOROTHIAZIDE SODIUM,[True],"FRESENIUS KABI USA, LLC",[],[],['63323-658-94'],[],[],[],[],['63323-658'],HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],['484152'],216677,2396,CAD79DB2-C58B-4C4F-88AC-4BBFC508F563,5B5D8A97-1428-4047-8E6C-B778429A26E4,['CHLOROTHIAZIDE SODIUM'],['SN86FG7N2K'],[]
598,NDA205750,CHOLBAM,CHOLIC ACID,[True],MANCHESTER PHARMACEUTICALS,"['N0000175802', 'N0000006801']",[],"['45043-002-02', '45043-001-02']",['Bile Acids and Salts [Chemical/Ingredient]'],['Bile Acid [EPC]'],[],[],"['45043-002', '45043-001']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['1440868', '1440861', '1608274', '1608276']",1608269,1440856,9C667450-88CD-45BF-9EF4-23F7D2D7D4F4,E5B67402-8550-4604-97A0-C7B149FBF753,['CHOLIC ACID'],['G1JO7801AE'],[]
24,NDA021368,CIALIS,TADALAFIL,[],REBEL DISTRIBUTORS CORP.,"['N0000175599', 'N0000020026']","['0002-4464', '0002-4463']","['21695-029-16', '21695-029-10', '21695-028-10', '21695-029-30']",[],['Phosphodiesterase 5 Inhibitor [EPC]'],['Phosphodiesterase 5 Inhibitors [MoA]'],[],"['21695-029', '21695-028']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['484814', '402019', '402097', '402096']",303263,358263,A2E793AB-7E78-463D-9BAD-312AF00F2E88,EBDDB745-81F9-4B25-8739-B2886032ED26,['TADALAFIL'],['742SXX0ICT'],[]
5782,ANDA078233,CICLODAN,CICLOPIROX,[True],"MEDIMETRIKS PHARMACEUTICALS, INC.","['N0000008841', 'N0000000150', 'N0000008853', 'N0000008577']",[],"['43538-500-06', '43538-501-06']",[],[],['Protein Synthesis Inhibitors [MoA]'],"['Decreased RNA Replication [PE]', 'Decreased DNA Replication [PE]', 'Decreased Protein Synthesis [PE]']","['43538-500', '43538-501']",HUMAN PRESCRIPTION DRUG,['TOPICAL'],"['309291', '1100057']",1100054,21090,41403ECF-D764-4109-9E3A-E7CF3495EF88,246676E5-60A0-41DC-B665-30D5E670B426,['CICLOPIROX'],['19W019ZDRJ'],[]
5742,ANDA201276,CIDOFOVIR,CIDOFOVIR ANHYDROUS,[True],MYLAN INSTITUTIONAL LLC,[],[],['67457-210-05'],[],[],[],[],['67457-210'],HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],['199388'],83170,83171,CDF09920-BFE5-407C-921F-F4AEFCA3E29E,56541229-8C1A-4550-8951-2415ED08E7E9,['CIDOFOVIR'],['JIL713Q00N'],[]
1678,NDA019992,CILOXAN,CIPROFLOXACIN HYDROCHLORIDE,[],"PHYSICIANS TOTAL CARE, INC.",[],['0065-0656'],['54868-2782-0'],[],[],[],[],['54868-2782'],HUMAN PRESCRIPTION DRUG,['OPHTHALMIC'],"['309307', '103943']",203565,2551,493A8C42-16DA-4710-9357-A46CD501377F,91BD0351-F33C-43CA-BD77-7DA97969985B,['CIPROFLOXACIN HYDROCHLORIDE'],['4BA73M5E37'],[]
1227,NDA021537,CIPRODEX,CIPROFLOXACIN AND DEXAMETHASONE,[],REBEL DISTRIBUTORS CORP,"['N0000175576', 'N0000175450']",['0065-8533'],['21695-969-75'],[],['Corticosteroid [EPC]'],['Corticosteroid Hormone Receptor Agonists [MoA]'],[],['21695-969'],HUMAN PRESCRIPTION DRUG,['AURICULAR (OTIC)'],"['403908', '404630']",404930,465397,895C2307-AEEB-49FD-AC3D-750A463FC3EF,895C2307-AEEB-49FD-AC3D-750A463FC3EF,"['CIPROFLOXACIN HYDROCHLORIDE', 'DEXAMETHASONE']","['7S5I7G3JQL', '4BA73M5E37']",[]
2771,ANDA076089,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE TABLET,[],REDPHARM DRUG INC.,[],['0172-5312'],"['67296-0543-2', '67296-0543-3', '67296-0543-4', '67296-0543-5']",[],[],[],[],['67296-0543'],HUMAN PRESCRIPTION DRUG,['ORAL'],['309309'],203563,2551,6150BD37-2019-48FA-8DDE-5B361F61CEDC,E797D0EB-EABB-432A-8053-64EFF753F1B0,['CIPROFLOXACIN HYDROCHLORIDE'],['4BA73M5E37'],['0367296054323']
1109,NDA021918,CIPROFLOXACIN OTIC,CIPROFLOXACIN,[True],XSPIRE PHARMA,[],[],['42195-550-14'],[],[],[],[],['42195-550'],HUMAN PRESCRIPTION DRUG,['AURICULAR (OTIC)'],['848956'],848957,2551,D0125ACF-1879-452D-BA29-C0F753653789,D0125ACF-1879-452D-BA29-C0F753653789,['CIPROFLOXACIN HYDROCHLORIDE'],['4BA73M5E37'],[]
3064,ANDA203182,CISATRACURIUM,CISATRACURIUM BESYLATE,[True],"FRESENIUS KABI USA, LLC",[],[],"['63323-418-20', '63323-417-10', '63323-416-05']",[],[],[],[],"['63323-416', '63323-417', '63323-418']",HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],"['199212', '1730194', '199211']",136560,319864,46E6638A-7EC2-4227-B4F6-7B1F1E091AE1,F78A07E2-0D3B-4460-B29E-8C10C90AFBDA,['CISATRACURIUM BESYLATE'],['80YS8O1MBS'],[]
254,ANDA077031,CITALOPRAM,CITALOPRAM HYDROBROMIDE,[],PROFICIENT RX LP,[],['65862-006'],"['63187-679-90', '63187-679-60', '63187-679-30', '63187-679-00']",[],[],[],[],['63187-679'],HUMAN PRESCRIPTION DRUG,['ORAL'],['200371'],215928,2556,289C1D5E-902F-47DB-85B8-5E1A55EC8684,289C1D5E-902F-47DB-85B8-5E1A55EC8684,['CITALOPRAM HYDROBROMIDE'],['I1E9D14F36'],[]
5580,ANDA077534,CITALOPRAM HYDROBROMIDE,CITALOPRAM,[True],EXELAN PHARMACEUTICALS INC.,[],[],"['76282-629-30', '76282-629-90', '76282-208-10', '76282-629-05', '76282-628-30', '76282-629-10', '76282-628-10', '76282-207-30', '76282-208-90', '76282-207-90', '76282-206-90', '76282-207-05', '76282-628-90', '76282-206-30', '76282-207-10', '76282-206-10', '76282-208-05', '76282-208-30', '76282-628-05', '76282-206-05']",[],[],[],[],"['76282-208', '76282-629', '76282-628', '76282-207', '76282-206']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['309314', '283672', '200371']",215928,2556,8B7497D4-B363-448C-98F6-B58B94BE9A42,A8E8FDE2-8392-4D5B-902B-E2B9DD55A02D,['CITALOPRAM HYDROBROMIDE'],['I1E9D14F36'],['0376282206905']
4549,NDA021383,CITANEST FORTE,PRILOCAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE,[True],DENTSPLY PHARMACEUTICAL INC.,[],[],"['66312-540-16', '66312-540-14']",[],[],[],[],['66312-540'],HUMAN PRESCRIPTION DRUG,['SUBMUCOSAL'],"['1595042', '1012709']",216066,214547,5BC16E4B-6878-839F-E053-2991AA0ABF4A,A654DF2A-68BC-43C5-BD97-AD43F8679DC0,"['EPINEPHRINE BITARTRATE', 'PRILOCAINE HYDROCHLORIDE']","['MJW015BAPH', '30Q7KI53AK']",[]
5789,ANDA079235,CITANEST PLAIN,PRILOCAINE HYDROCHLORIDE,[True],DENTSPLY PHARMACEUTICAL INC.,[],[],['66312-630-14'],[],[],[],[],['66312-630'],HUMAN PRESCRIPTION DRUG,['SUBMUCOSAL'],"['1012706', '1595048']",151518,2557,5BC1C871-EB79-0C23-E053-2A91AA0A581A,DB23A56F-1E41-4843-9220-1B2E3059DB41,['PRILOCAINE HYDROCHLORIDE'],['MJW015BAPH'],[]
679,NDA021297,CLARINEX,DESLORATIDINE,[],"PHYSICIANS TOTAL CARE, INC.","['N0000175587', 'N0000000190']",['0085-1264'],"['54868-4624-1', '54868-4624-0']",[],['Histamine-1 Receptor Antagonist [EPC]'],['Histamine H1 Receptor Antagonists [MoA]'],[],['54868-4624'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['352086', '349420']",323342,275635,EB68B814-4B53-4C44-95DE-2CC71D442A9C,4B546121-EF6B-458C-AE0C-CE5BBA3DC9A3,['DESLORATADINE'],['FVF865388R'],[]
1680,NDA021313,CLARINEX-D 12 HOUR,DESLORATADINE AND PSEUDOEPHEDRINE SULFATE,[],"PHYSICIANS TOTAL CARE, INC.","['N0000175587', 'N0000000190']",['0085-1322'],"['54868-5708-1', '54868-5708-0']",[],['Histamine-1 Receptor Antagonist [EPC]'],['Histamine H1 Receptor Antagonists [MoA]'],[],['54868-5708'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['1112248', '1112250']",579752,597501,953E45FD-753E-41BB-9295-813476E9B6ED,C7230A68-A3AC-4DCE-9E72-6E21F0B25F45,"['PSEUDOEPHEDRINE SULFATE', 'DESLORATADINE']","['FVF865388R', 'Y9DL7QPE6B']",[]
1895,ANDA203243,CLARITHROMYCIN,CLARITHROMYCIN EXTENDED-RELEASE,[True],"PAR PHARMACEUTICAL, INC.","['N0000190114', 'N0000175935', 'N0000182141', 'N0000007529', 'N0000185503']",[],['49884-238-02'],['Macrolides [Chemical/Ingredient]'],['Macrolide Antimicrobial [EPC]'],"['P-Glycoprotein Inhibitors [MoA]', 'Cytochrome P450 3A4 Inhibitors [MoA]', 'Cytochrome P450 3A Inhibitors [MoA]']",[],['49884-238'],HUMAN PRESCRIPTION DRUG,['ORAL'],['359385'],203729,21212,D1FB6563-6EFB-461A-9E63-FAA0EEE29720,7254F785-F36C-4448-AD4B-49292A9F4833,['CLARITHROMYCIN'],['H1250JIK0A'],['0349884238025']
1960,ANDA202710,CLARITHROMYCIN 250 MG,CLARITHROMYCIN,[True],JUBILANT CADISTA PHARMACEUTICALS INC.,"['N0000190114', 'N0000175935', 'N0000182141', 'N0000007529', 'N0000185503']",[],"['59746-742-60', '59746-743-60']",['Macrolides [Chemical/Ingredient]'],['Macrolide Antimicrobial [EPC]'],"['P-Glycoprotein Inhibitors [MoA]', 'Cytochrome P450 3A4 Inhibitors [MoA]', 'Cytochrome P450 3A Inhibitors [MoA]']",[],"['59746-742', '59746-743']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['197517', '197516']",203729,21212,C4CC89AE-C12F-4DC5-BEA8-0FE8D652421F,8A56F36F-4E45-43F6-842B-5C2D319AAAEC,['CLARITHROMYCIN'],['H1250JIK0A'],['0359746742607']
5270,NDA209589,CLENPIQ,"SODIUM PICOSULFATE, MAGNESIUM OXIDE, AND ANHYDROUS CITRIC ACID",[True],FERRING PHARMACEUTICALS INC.,"['N0000008556', 'N0000175835', 'N0000175089', 'N0000175833', 'N0000175980']",[],"['55566-6700-0', '55566-6700-1']",[],"['Calculi Dissolution Agent [EPC]', 'Anti-coagulant [EPC]']","['Calcium Chelating Activity [MoA]', 'Acidifying Activity [MoA]']",['Decreased Coagulation Factor Activity [PE]'],['55566-6700'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['1305808', '1991509']",1991504,1304093,9D151290-44D5-4EFA-9B7C-40490F7F2DFB,EA24A07B-34CA-4DA4-BA69-73BBF44DE20D,"['SODIUM PICOSULFATE', 'MAGNESIUM OXIDE', 'ANHYDROUS CITRIC ACID']","['XF417D3PSL', '3A3U0GI71G', 'LR57574HN8']",[]
4177,ANDA062644,CLEOCIN PEDIATRIC,CLINDAMYCIN PALMITATE HYDROCHLORIDE,[True],PHARMACIA AND UPJOHN COMPANY LLC,[],[],['0009-0760-04'],[],[],[],[],['0009-0760'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['748743', '562266']",202862,2582,8E11DAED-0F2A-4CD5-9F38-99A6C8F8A6D1,1EF87B6C-9D32-44AC-8C55-8BF01424CC45,['CLINDAMYCIN PALMITATE HYDROCHLORIDE'],['VN9A8JM7M7'],[]
3285,NDA050441,CLEOCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,[True],PHARMACIA AND UPJOHN COMPANY LLC,[],[],"['0009-3375-02', '0009-0728-05', '0009-6582-01', '0009-3375-01', '0009-0728-09', '0009-0775-26', '0009-3381-02', '0009-0775-20', '0009-6582-02', '0009-3382-01', '0009-3124-01', '0009-0902-18', '0009-3124-03', '0009-0870-21', '0009-0870-26', '0009-3382-02', '0009-3447-03', '0009-0902-11', '0009-3447-01', '0009-3381-01']",[],[],[],[],"['0009-0775', '0009-3124', '0009-0728', '0009-0902', '0009-0870', '0009-3381', '0009-6582', '0009-3382', '0009-3375', '0009-3447']",HUMAN PRESCRIPTION DRUG,"['INTRAMUSCULAR', 'INTRAVENOUS']","['685576', '1737245', '685574', '205964', '706461', '685578', '1737581', '1737244', '309336', '309335', '309339', '1737579', '1737578', '1737582']",202862,2582,0584D8A1-1D37-4AD8-BDD9-11ED99FB0291,05A75685-0AF5-407C-AC57-E380C882B49D,['CLINDAMYCIN PHOSPHATE'],['EH6D7113I8'],[]
1160,NDA022156,CLEVIPREX,CLEVIDIPINE,[True],FRESENIUS KABI AUSTRIA GMBH,"['N0000175421', 'N0000007556', 'N0000000069']",[],"['18124-011-50', '18124-011-00', '18124-011-25']",['Dihydropyridines [Chemical/Ingredient]'],['Dihydropyridine Calcium Channel Blocker [EPC]'],['Calcium Channel Antagonists [MoA]'],[],['18124-011'],HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],"['1790248', '1790245', '1790246', '1790247', '1790242', '1790239']",804539,233603,A6826AA3-FABB-4FF1-A7A3-CD4C34E3A330,A6826AA3-FABB-4FF1-A7A3-CD4C34E3A330,['CLEVIDIPINE'],['19O2GP3B7Q'],[]
5593,NDA020375,CLIMARA,ESTRADIOL,[True],BAYER HEALTHCARE PHARMACEUTICALS INC.,"['N0000011402', 'N0000000100', 'N0000175825']",[],"['50419-459-04', '50419-459-01', '50419-451-04', '50419-451-01', '50419-454-04', '50419-452-01', '50419-454-01', '50419-452-04', '50419-453-01', '50419-456-04', '50419-453-04', '50419-456-01']",['Estradiol Congeners [Chemical/Ingredient]'],['Estrogen [EPC]'],['Estrogen Receptor Agonists [MoA]'],[],"['50419-459', '50419-452', '50419-453', '50419-451', '50419-456', '50419-454']",HUMAN PRESCRIPTION DRUG,['TRANSDERMAL'],"['404657', '404656', '403922', '403923', '242333', '310170', '310174', '241527', '238003', '310178', '310181', '238004']",323984,4083,FEA9E359-414A-42A5-A190-C30B83A472AD,1E9702C4-F2D7-4EA8-B6E8-7DCA31671864,['ESTRADIOL'],['4TI98Z838E'],[]
1642,NDA021258,CLIMARA PRO,ESTRADIOL AND LEVONORGESTREL,[],"PHYSICIANS TOTAL CARE, INC.","['N0000175825', 'N0000011301', 'N0000175830', 'N0000000100', 'N0000175602', 'N0000011402', 'N0000175832']",['50419-491'],['54868-5570-0'],"['Estradiol Congeners [Chemical/Ingredient]', 'Progesterone Congeners [Chemical/Ingredient]']","['Progestin [EPC]', 'Progestin-containing Intrauterine Device [EPC]', 'Estrogen [EPC]']",['Estrogen Receptor Agonists [MoA]'],['Inhibit Ovum Fertilization [PE]'],['54868-5570'],HUMAN PRESCRIPTION DRUG,['TRANSDERMAL'],"['402250', '402252']",402099,687333,F1CA50F6-37F5-4E14-A2EA-4D1DAAF67EC4,EABC0FB3-DA2A-482F-83A7-99B1E823A150,"['LEVONORGESTREL', 'ESTRADIOL']","['4TI98Z838E', '5W7SIA7YZW']",[]
4891,ANDA065049,CLINDACIN ETZ,CLINDAMYCIN PHOSPHATE,[True],"MEDIMETRIKS PHARMACEUTICALS, INC.",[],[],"['43538-173-60', '43538-172-60']",[],[],[],[],"['43538-173', '43538-172']",HUMAN PRESCRIPTION DRUG,['TOPICAL'],"['797274', '1091339']",1091336,2582,D93F2C92-4715-460E-BE6A-491106735140,89FED26E-1CAD-4C0B-8695-D6F3562BA8D5,['CLINDAMYCIN PHOSPHATE'],['EH6D7113I8'],[]
3713,ANDA065049,CLINDACIN P,CLINDAMYCIN PHOSPHATE,[True],"MEDIMETRIKS PHARMACEUTICALS, INC.",[],[],"['43538-170-69', '43538-171-69']",[],[],[],[],"['43538-171', '43538-170']",HUMAN PRESCRIPTION DRUG,['TOPICAL'],"['797274', '1091339']",1091336,2582,BB79BCF9-EA7F-4537-92B7-349F6F6EEBED,288371EF-96B6-4CE3-9BE1-1D9D309B400C,['CLINDAMYCIN PHOSPHATE'],['EH6D7113I8'],[]
4934,NDA050782,CLINDAGEL,CLINDAMYCIN,[True],ONSET DERMATOLOGICS LLC,[],[],"['16781-462-40', '16781-462-07', '16781-462-06', '16781-462-75']",[],[],[],[],['16781-462'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],"['309332', '351330']",352546,2582,862E8A7C-5BE8-439E-A12F-59899681DDC1,F7B4E985-719A-4547-B624-94612D520991,['CLINDAMYCIN PHOSPHATE'],['EH6D7113I8'],[]
1703,ANDA065067,CLINDAMAX LOTION,CLINDAMYCIN PHOSPHATE,[True],"PHARMADERM, A DIVISION OF NYCOMED US INC.",[],[],['0462-0391-60'],[],[],[],[],['0462-0391'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],"['404033', '197519']",404942,2582,0EBFDC10-471E-41D8-9396-B1E2A0760B7E,64C28C73-5A2A-4BB0-BCEC-9948463A9C8F,['CLINDAMYCIN PHOSPHATE'],['EH6D7113I8'],[]
2425,ANDA090108,CLINDAMYCIN,CLINDAMYCIN PHOSPHATE,[],CARDINAL HEALTH,[],['25021-115'],['55154-2828-5'],[],[],[],[],['55154-2828'],HUMAN PRESCRIPTION DRUG,"['INTRAMUSCULAR', 'INTRAVENOUS']",['1737581'],202862,2582,F778576B-BCA2-4BB4-82DB-C4FEF073DBFD,5F97A41C-2548-42F0-BD65-F683C32B5D86,['CLINDAMYCIN PHOSPHATE'],['EH6D7113I8'],[]
4204,NDA050741,CLINDAMYCIN - BENZOYL PEROXIDE,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,[True],PRASCO LABORATORIES,[],[],['66993-949-45'],[],[],[],[],['66993-949'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],['1540241'],352570,646781,25E2E29D-8DAE-487D-92E2-E98A8476A2CD,23B5C29B-4B63-49E3-80C2-902A9D1BC411,"['CLINDAMYCIN PHOSPHATE', 'BENZOYL PEROXIDE']","['EH6D7113I8', 'W9WZN9A0GM']",[]
5211,ANDA203063,CLINDAMYCIN PALMITATE HYDROCHLORIDE,CLINDAMYCIN,[True],MYLAN PHARMACEUTICALS INC.,[],[],['0378-8730-35'],[],[],[],[],['0378-8730'],HUMAN PRESCRIPTION DRUG,['ORAL'],['562266'],202862,2582,9A4280EE-F5A0-4A6E-8571-16D421DAFC7A,C643932F-3866-4D31-BAB3-66FDB0C07FF4,['CLINDAMYCIN PALMITATE HYDROCHLORIDE'],['VN9A8JM7M7'],[]
4407,ANDA201821,CLINDAMYCIN PALMITATE HYDROCHLORIDE (PEDIATRIC),CLINDAMYCIN PALMITATE HYDROCHLORIDE,[True],"RISING PHARMACEUTICALS, INC.",[],[],['64980-511-10'],[],[],[],[],['64980-511'],HUMAN PRESCRIPTION DRUG,['ORAL'],['562266'],202862,2582,FCE073A8-BC9F-4E33-B078-33262E8A6A5F,0800AFAD-E4CD-4F70-AAA1-A14547BE4729,['CLINDAMYCIN PALMITATE HYDROCHLORIDE'],['VN9A8JM7M7'],['0364980511100']
5986,ANDA090979,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,"CLINDAMYCIN, BENZOYL PEROXIDE",[True],PERRIGO NEW YORK INC,[],[],['45802-736-84'],[],[],[],[],['45802-736'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],['1540241'],352570,646781,F1D946F4-0E08-4610-90A1-9F57C6091351,1C7040F2-E503-408A-B07E-72C7972CE78D,"['CLINDAMYCIN PHOSPHATE', 'BENZOYL PEROXIDE']","['EH6D7113I8', 'W9WZN9A0GM']",[]
3176,ANDA020512,CLINISOL,"LYSINE, LEUCINE, PHENYLALANINE, VALINE, HISTIDINE, ISOLEUCINE, METHIONINE, THREONINE, TRYPTOPHAN, ALANINE, ARGININE, GLYCINE, PROLINE, GLUTAMIC ACID, SERINE, ASPARTIC ACID, TYROSINE",[True],BAXTER HEALTHCARE CORPORATION,"['N0000175780', 'N0000006806']",[],"['0338-0502-03', '0338-0502-06']",['Amino Acids [Chemical/Ingredient]'],['Amino Acid [EPC]'],[],[],['0338-0502'],HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],"['800588', '800584']",800585,1008982,4F347CF2-CF17-437E-B2EB-40D12C867AA3,65FFC962-7538-41EA-9AFB-4AF5FBCE4C5B,"['ALANINE', 'GLYCINE', 'ARGININE', 'LYSINE ACETATE', 'GLUTAMIC ACID', 'PHENYLALANINE', 'TYROSINE', 'LEUCINE', 'METHIONINE', 'SERINE', 'VALINE', 'TRYPTOPHAN', 'ISOLEUCINE', 'THREONINE', 'PROLINE', 'HISTIDINE', 'ASPARTIC ACID']","['OF5P57N2ZX', '42HK56048U', 'AE28F7PNPL', '2ZD004190S', '94ZLA3W45F', 'TTL6G7LIWZ', '3KX376GY7L', '47E5O17Y3R', '8DUH1N11BX', '9DLQ4CIU6V', '04Y7590D77', '4QD397987E', '452VLY9402', 'GMW67QNF9C', 'HG18B9YRS7', '30KYC7MIAI', 'TE7660XO1C']",[]
3243,NDA204508,CLINOLIPID,OLIVE OIL AND SOYBEAN OIL,[True],BAXTER HEALTHCARE CORPORATION,"['N0000006185', 'N0000191261']",[],"['0338-9540-06', '0338-9540-07', '0338-9540-04', '0338-9540-05', '0338-9540-02', '0338-9540-03', '0338-9540-01', '0338-9540-08']",['Lipids [Chemical/Ingredient]'],['Lipid Emulsion [EPC]'],[],[],['0338-9540'],HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],"['1986378', '1986373', '1986388', '1986389', '1986381', '1986382', '1986385', '1986386']",1986374,1986372,0E80CF66-7B95-4535-BB8E-8A79B90B705C,AE98EB03-C0E7-49D1-B024-77968E3D9D6E,"['OLIVE OIL', 'SOYBEAN OIL']","['6UYK2W1W1E', '241ATL177A']",[]
768,ANDA075027,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE GEL,[],DIRECT RX,[],['45802-925'],['61919-329-15'],[],[],[],[],['61919-329'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],['861434'],114398,21245,A8EB8A82-E2EF-4B86-9BD1-E99BD945C0ED,BB24BBE8-7522-4E99-AC42-BD3079E51107,['CLOBETASOL PROPIONATE'],['779619577M'],[]
4928,ANDA075430,CLOBETASOL PROPIONATE (EMOLLIENT),CLOBETASOL PROPIONATE,[True],E. FOUGERA & CO. A DIVISION OF FOUGERA PHARMACEUTICALS INC.,[],[],"['0168-0301-15', '0168-0301-30', '0168-0301-60']",[],[],[],[],['0168-0301'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],['1992281'],114398,21245,82BD8AB9-E23D-4212-8C96-E1F0896EE09B,FDFD83EE-DFB4-4C12-A74E-A0053E34E08C,['CLOBETASOL PROPIONATE'],['779619577M'],['0007170000007']
2485,ANDA201402,CLOBETASOL PROPIONATE EMOLLIENT FORMULATION,CLOBETASOL PROPIONATE,[True],PERRIGO NEW YORK INC,[],[],"['45802-637-32', '45802-637-33']",[],[],[],[],['45802-637'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],['1992273'],284814,21245,74DBE844-4825-4670-B985-53611583E965,5264DFB8-3F6F-4F20-958D-9B5855806DC8,['CLOBETASOL PROPIONATE'],['779619577M'],[]
5660,NDA022013,CLOBETASOL PROPIONATE EMULSION,CLOBETASOL PROPIONATE,[True],"RENAISSANCE PHARMA, INC.",[],[],"['40085-893-00', '40085-893-50']",[],[],[],[],['40085-893'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],['1992273'],284814,21245,70D14E78-F1EF-4485-9678-112FF9DE02F0,6ECD894C-26D2-4C9B-919B-C3F07E8B3094,['CLOBETASOL PROPIONATE'],['779619577M'],[]
1461,NDA021835,CLOBEX,CLOBETASOL PROPIONATE,[],"PHYSICIANS TOTAL CARE, INC.",[],['0299-3849-02'],['54868-5510-0'],[],[],[],[],['54868-5510'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],"['861513', '861512']",404945,21245,FBF1AB44-6114-49EF-9223-4FD6BCF832EB,C77ABABD-A449-4E89-A9C6-B7E401120BA1,['CLOBETASOL PROPIONATE'],['779619577M'],[]
